voyage_id,vessel_type,dwt,n_ports,nz_dest_port,cluster_k,p_invasion,p_alien_per_port,p_intro_per_port,p_estab_per_port,pr_inv_per_port
10,RoRo,15068.0,7,AUCKLAND,0,0.0003548074,"[0.999998, 0.999913, 0.999965, 0.999902, 1.0, 0.999862]","[0.22936676, 0.30403337, 0.37607201, 0.45083784, 0.61258215, 0.8000828]","[0.00013088, 0.00013371, 0.00013371, 0.00013371, 0.00013195, 0.00011601]","[3.00192e-05, 4.06483e-05, 5.02822e-05, 6.02748e-05, 8.08315e-05, 9.28025e-05]"
11,Container,35225.0,5,TAURANGA,1,0.0002277821,"[0.854803, 1.0, 0.999493, 0.999989]","[0.33019481, 0.43010689, 0.52161934, 0.58568179]","[0.00013909, 0.00011567, 0.00011601, 0.00013371]","[3.92581e-05, 4.97525e-05, 6.04809e-05, 7.83097e-05]"
12,Container,52190.0,7,AUCKLAND,0,0.0003726789,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.38959547, 0.41639941, 0.46169496, 0.49700843, 0.51645193, 0.65570013]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[5.14079e-05, 5.49448e-05, 6.09216e-05, 5.77663e-05, 6.00262e-05, 8.76695e-05]"
13,Container,50278.0,6,AUCKLAND,0,0.0003214367,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.43632111, 0.47563035, 0.51984899, 0.559407, 0.58101414]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623]","[5.75735e-05, 6.27604e-05, 6.85952e-05, 6.50188e-05, 6.75301e-05]"
14,Bulker,39752.0,7,AUCKLAND,1,0.000327599,"[1.0, 1.0, 1.0, 1.0, 0.999889, 0.999965]","[0.03756653, 0.10662523, 0.24494875, 0.41760829, 0.73070935, 0.84614126]","[0.0001448, 0.0001448, 0.0001448, 0.0001448, 0.00013371, 0.00013371]","[5.4396e-06, 1.54391e-05, 3.54681e-05, 6.04689e-05, 9.7691e-05, 0.0001131322]"
15,Container,35225.0,7,TAURANGA,1,0.0002819724,"[1.0, 1.0, 1.0, 1.0, 0.999493, 0.999989]","[0.2796583, 0.31148079, 0.32710833, 0.41150315, 0.4755587, 0.52039125]","[0.00012152, 0.00011482, 0.00012209, 0.00011567, 0.00011601, 0.00013371]","[3.39829e-05, 3.57641e-05, 3.99374e-05, 4.76005e-05, 5.51403e-05, 6.95799e-05]"
16,Tanker,49999.0,5,NEW PLYMOUTH,4,0.0002605834,"[1.0, 0.999975, 0.999861, 0.999995]","[0.10445977, 0.43869118, 0.76682971, 0.8868747]","[8.382e-05, 0.00010558, 0.00010558, 0.00014047]","[8.7554e-06, 4.63168e-05, 8.09523e-05, 0.0001245806]"
17,RoRo,17693.0,7,AUCKLAND,0,0.0003793656,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999862]","[0.29047766, 0.35979693, 0.44430906, 0.52307772, 0.62182441, 0.84103502]","[0.00013195, 0.00013195, 0.00011623, 0.00011924, 0.00013195, 0.00011601]","[3.83291e-05, 4.7476e-05, 5.16412e-05, 6.23744e-05, 8.2051e-05, 9.75526e-05]"
18,Bulker,93296.0,6,TAURANGA,4,0.0003225296,"[1.0, 1.0, 0.999989, 0.999968, 0.999999]","[0.09486799, 0.29890476, 0.56303037, 0.69353793, 0.840164]","[0.0001061, 0.00011553, 0.00013371, 0.00013371, 0.00013088]","[1.00655e-05, 3.45329e-05, 7.5281e-05, 9.27288e-05, 0.0001099595]"
19,Bulker,36006.0,5,TAURANGA,4,0.0003031053,"[1.0, 1.0, 0.999989, 0.999968]","[0.27028973, 0.48175886, 0.7159596, 0.86571729]","[0.00013195, 0.00011623, 0.00013371, 0.00013371]","[3.56653e-05, 5.59939e-05, 9.57287e-05, 0.0001157499]"
20,Container,12502.0,6,TAURANGA,3,0.0001586645,"[1.0, 1.0, 1.0, 1.0, 0.999493]","[0.23380585, 0.26294388, 0.29660338, 0.33127259, 0.37034381]","[0.00010291, 0.00010291, 0.00010291, 0.00010291, 0.00011601]","[2.40606e-05, 2.70592e-05, 3.0523e-05, 3.40908e-05, 4.29408e-05]"
21,Container,8252.0,7,AUCKLAND,2,0.0001525758,"[0.999862, 1.0, 1.0, 0.999993, 0.99997, 0.999659]","[0.16276839, 0.18704569, 0.20784057, 0.23690816, 0.26717466, 0.29331026]","[0.00011601, 0.00010437, 0.00010437, 0.00011601, 0.00011601, 0.00011601]","[1.88797e-05, 1.95224e-05, 2.16928e-05, 2.74828e-05, 3.09932e-05, 3.40145e-05]"
22,RoRo,22271.0,5,GISBORNE,1,0.0002910053,"[1.0, 1.0, 1.0, 1.0]","[0.37366294, 0.44470027, 0.63582734, 0.72245671]","[9.591e-05, 0.00013982, 0.00014211, 0.00014211]","[3.58374e-05, 6.21764e-05, 9.03556e-05, 0.0001026663]"
23,Container,65937.0,7,AUCKLAND,0,0.0003562956,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.998457]","[0.37474739, 0.44945378, 0.52536618, 0.57015152, 0.62048645, 0.67400519]","[0.00013195, 0.00011623, 0.00010291, 0.00010291, 0.00010291, 0.00011601]","[4.94487e-05, 5.22391e-05, 5.40647e-05, 5.86735e-05, 6.38534e-05, 7.80688e-05]"
24,Container,30136.0,7,TAURANGA,1,0.000268623,"[1.0, 0.854803, 1.0, 1.0, 0.999493, 0.999989]","[0.25008376, 0.27691099, 0.3136542, 0.39700039, 0.46109154, 0.52309244]","[0.00012152, 0.00013909, 0.00011482, 0.00011567, 0.00011601, 0.00013371]","[3.03891e-05, 3.2923e-05, 3.60136e-05, 4.59229e-05, 5.34628e-05, 6.9941e-05]"
25,Container,13102.0,7,AUCKLAND,3,0.0001816673,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.17971849, 0.19695782, 0.23150428, 0.25067704, 0.27870542, 0.3252583]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[2.08883e-05, 2.5989e-05, 3.05475e-05, 3.30774e-05, 3.23934e-05, 3.87854e-05]"
26,Bulker,37555.0,6,PORT CHALMERS,4,0.0002909796,"[1.0, 0.999996, 0.9999, 0.999973, 1.0]","[0.10570553, 0.27893348, 0.51196434, 0.67272215, 0.79780951]","[7.916e-05, 0.00010558, 0.00010558, 0.00014047, 0.00013117]","[8.3675e-06, 2.94503e-05, 5.40489e-05, 9.44961e-05, 0.0001046473]"
27,Container,35225.0,7,TAURANGA,1,0.0002605114,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999493]","[0.27659467, 0.30097692, 0.3359722, 0.35652466, 0.44899911, 0.52699613]","[0.00010419, 0.00012152, 0.00011482, 0.00012209, 0.00011567, 0.00011601]","[2.88186e-05, 3.65734e-05, 3.85762e-05, 4.35289e-05, 5.19379e-05, 6.11044e-05]"
28,Container,117175.0,7,TAURANGA,1,0.0004511953,"[1.0, 1.0, 1.0, 0.999493, 0.999989, 0.999965]","[0.45923753, 0.47267176, 0.58037258, 0.65862593, 0.71725079, 0.75867605]","[0.00011482, 0.00012209, 0.00011567, 0.00011601, 0.00013371, 0.00013371]","[5.27294e-05, 5.77096e-05, 6.71344e-05, 7.63666e-05, 9.59013e-05, 0.0001014377]"
29,Container,30189.0,7,TAURANGA,1,0.0003193784,"[0.854803, 1.0, 0.999493, 0.999989, 0.999965, 0.999999]","[0.25836993, 0.3376117, 0.40954901, 0.46709889, 0.50651368, 0.55001357]","[0.00013909, 0.00011567, 0.00011601, 0.00013371, 0.00013371, 0.00013088]","[3.07186e-05, 3.90531e-05, 4.74866e-05, 6.24543e-05, 6.77227e-05, 7.1985e-05]"
30,RoRo,15089.0,6,AUCKLAND,0,0.0003431635,"[0.998457, 0.999965, 1.0, 1.0, 1.0]","[0.32152056, 0.39852823, 0.55234896, 0.64066262, 0.72195358]","[0.00011601, 0.00013371, 0.00013195, 0.00013195, 0.00013195]","[3.72411e-05, 5.32847e-05, 7.28836e-05, 8.45368e-05, 9.52633e-05]"
31,Container,110387.0,7,TAURANGA,1,0.0004790683,"[1.0, 1.0, 1.0, 0.999493, 0.999989, 0.999965]","[0.48907515, 0.50287507, 0.6199948, 0.70466199, 0.7606186, 0.79645031]","[0.00011482, 0.00012209, 0.00011567, 0.00011601, 0.00013371, 0.00013371]","[5.61554e-05, 6.13972e-05, 7.17177e-05, 8.17044e-05, 0.0001016999, 0.0001064882]"
32,Bulker,36170.0,6,NEW PLYMOUTH,4,0.0001987324,"[1.0, 1.0, 1.0, 1.0, 0.999975]","[0.09875923, 0.21842993, 0.3730832, 0.50196173, 0.7523418]","[0.00012132, 0.00010536, 0.00010536, 8.967e-05, 0.00010558]","[1.19819e-05, 2.30148e-05, 3.93098e-05, 4.50084e-05, 7.9432e-05]"
33,Container,31756.0,6,AUCKLAND,0,0.0002512155,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.34242541, 0.37425758, 0.41375902, 0.43795954, 0.48807306]","[0.00013195, 9.871e-05, 0.00013195, 0.00013195, 0.00011623]","[4.51838e-05, 3.6943e-05, 5.45964e-05, 5.77897e-05, 5.67278e-05]"
34,Container,50567.0,7,AUCKLAND,0,0.0003781264,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.42805647, 0.45581569, 0.49225657, 0.51907493, 0.5542158, 0.59059161]","[0.00011623, 0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.97522e-05, 6.01458e-05, 6.49543e-05, 6.8493e-05, 6.44154e-05, 7.04251e-05]"
35,Container,22968.0,6,TAURANGA,2,0.0002388111,"[0.999921, 0.999948, 1.0, 1.0, 0.999702]","[0.36019517, 0.38862087, 0.4305658, 0.46695393, 0.50266424]","[0.00011601, 0.00011601, 0.00010437, 0.00010437, 0.00011601]","[4.17819e-05, 4.50804e-05, 4.49391e-05, 4.8737e-05, 5.82953e-05]"
36,RoRo,14996.0,5,AUCKLAND,0,0.0003108912,"[1.0, 1.0, 1.0, 1.0]","[0.4513506, 0.54410836, 0.64096087, 0.71994318]","[0.00013195, 0.00013195, 0.00013195, 0.00013195]","[5.95567e-05, 7.17962e-05, 8.45761e-05, 9.4998e-05]"
37,Container,41028.0,7,TAURANGA,1,0.0002724766,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.28982022, 0.32330744, 0.35942524, 0.40730427, 0.44673383, 0.50925351]","[0.00012152, 0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209]","[3.52177e-05, 3.7122e-05, 4.1269e-05, 4.24374e-05, 5.42852e-05, 6.2176e-05]"
38,Container,51737.0,6,AUCKLAND,0,0.0002905304,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.40788895, 0.45341112, 0.47542227, 0.50890412, 0.5752084]","[9.871e-05, 0.00013195, 0.00013195, 0.00011623, 0.00011924]","[4.02628e-05, 5.98286e-05, 6.2733e-05, 5.91489e-05, 6.85907e-05]"
39,Container,59266.0,7,AUCKLAND,1,0.0003155178,"[1.0, 0.643148, 1.0, 1.0, 0.998457, 0.999965]","[0.30632789, 0.3360661, 0.37802379, 0.47093252, 0.54284315, 0.65455037]","[0.00012152, 0.00013909, 0.00011482, 0.00011567, 0.00011601, 0.00013371]","[3.72237e-05, 3.00627e-05, 4.34045e-05, 5.4475e-05, 6.28765e-05, 8.75158e-05]"
40,Container,41028.0,6,TAURANGA,1,0.0002653016,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.38751509, 0.41541555, 0.46316374, 0.48420993, 0.50925351]","[0.00010419, 0.00012152, 0.00011482, 0.00012209, 0.00012209]","[4.03755e-05, 5.04795e-05, 5.31802e-05, 5.91183e-05, 6.2176e-05]"
41,Container,30156.0,7,TAURANGA,1,0.0003276951,"[1.0, 1.0, 0.999493, 0.999989, 0.999965, 0.999999]","[0.27613731, 0.34853413, 0.42498664, 0.47542655, 0.5113344, 0.55392421]","[0.00012209, 0.00011567, 0.00011601, 0.00013371, 0.00013371, 0.00013088]","[3.37143e-05, 4.03166e-05, 4.92765e-05, 6.35678e-05, 6.83672e-05, 7.24968e-05]"
42,Container,39418.0,7,AUCKLAND,0,0.0003236196,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.33040725, 0.36155282, 0.39679355, 0.43140494, 0.4506945, 0.57945196]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[4.35979e-05, 4.77077e-05, 5.23577e-05, 5.01414e-05, 5.23833e-05, 7.74748e-05]"
43,Container,43177.0,6,TAURANGA,1,0.0002415957,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.33659655, 0.35631967, 0.41059105, 0.4601755, 0.51895217]","[0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209]","[3.86479e-05, 4.09125e-05, 4.27798e-05, 5.59186e-05, 6.33601e-05]"
44,Container,53870.0,7,LYTTELTON,0,0.0002571612,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999995]","[0.33417858, 0.35695574, 0.39962996, 0.43245167, 0.45939045, 0.59000309]","[0.00010536, 0.00010536, 0.00010536, 8.967e-05, 8.967e-05, 0.00010558]","[3.52106e-05, 3.76105e-05, 4.21069e-05, 3.87758e-05, 4.11913e-05, 6.22935e-05]"
45,Container,26871.0,7,TAURANGA,1,0.0002484408,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.24815227, 0.26580824, 0.29091379, 0.32745955, 0.36524916, 0.42320844]","[0.00012209, 0.00012209, 0.00012209, 0.0001346, 0.0001346, 0.0001346]","[3.02975e-05, 3.24532e-05, 3.55183e-05, 4.40745e-05, 4.91608e-05, 5.69619e-05]"
46,RoRo,16837.0,7,AUCKLAND,4,0.0004110124,"[1.0, 1.0, 0.999965, 0.999902, 0.999998, 0.999913]","[0.26120402, 0.33904139, 0.47781023, 0.59244421, 0.68663196, 0.80282662]","[0.00011623, 0.00011924, 0.00013371, 0.00013371, 0.00013088, 0.00013371]","[3.03592e-05, 4.0429e-05, 6.3885e-05, 7.92069e-05, 8.98653e-05, 0.0001073352]"
47,Container,41028.0,6,TAURANGA,1,0.0003190439,"[1.0, 1.0, 0.999493, 0.999989, 0.999965]","[0.36090856, 0.45243987, 0.52757877, 0.58995669, 0.63764621]","[0.00011482, 0.00011567, 0.00011601, 0.00013371, 0.00013371]","[4.14393e-05, 5.23359e-05, 6.11719e-05, 7.88812e-05, 8.52555e-05]"
48,Bulker,35104.0,6,AUCKLAND,4,0.0003140241,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.15521554, 0.33637562, 0.59204275, 0.72055249, 0.75678349]","[9.871e-05, 9.871e-05, 0.00011924, 0.00013195, 0.00013195]","[1.53213e-05, 3.32037e-05, 7.05981e-05, 9.50784e-05, 9.98592e-05]"
49,Bulker,31775.0,6,GISBORNE,4,0.000313823,"[1.0, 1.0, 1.0, 1.0, 0.999998]","[0.13080902, 0.27714048, 0.46819609, 0.62606064, 0.86487111]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013371]","[1.72605e-05, 3.65693e-05, 6.17795e-05, 8.261e-05, 0.0001156401]"
50,Container,52786.0,7,AUCKLAND,1,0.0003617546,"[0.643148, 1.0, 0.998457, 0.999965, 0.999902, 0.999998]","[0.30579465, 0.39912551, 0.45904812, 0.52278347, 0.59263511, 0.6569698]","[0.00013909, 0.00011567, 0.00011601, 0.00013371, 0.00013371, 0.00013088]","[2.73548e-05, 4.61687e-05, 5.31707e-05, 6.9898e-05, 7.92324e-05, 8.59832e-05]"
51,Bulker,37704.0,5,GISBORNE,4,0.0002752745,"[1.0, 1.0, 1.0, 1.0]","[0.3175387, 0.54051623, 0.65842053, 0.73781969]","[9.871e-05, 0.00013195, 0.00013195, 0.00011623]","[3.13443e-05, 7.13223e-05, 8.688e-05, 8.57554e-05]"
52,General Cargo,20202.0,5,AUCKLAND,2,0.0002904669,"[1.0, 1.0, 1.0, 1.0]","[0.49937436, 0.60646001, 0.71952627, 0.79402497]","[0.00010437, 0.00010437, 0.00011567, 0.00011567]","[5.21208e-05, 6.32976e-05, 8.3231e-05, 9.18486e-05]"
53,Container,53124.0,6,TAURANGA,0,0.0003360919,"[1.0, 1.0, 1.0, 1.0, 0.999989]","[0.47700669, 0.50086229, 0.52991956, 0.56859621, 0.69620244]","[0.00011623, 0.00011623, 0.00011623, 0.00011924, 0.00013371]","[5.54416e-05, 5.82143e-05, 6.15915e-05, 6.78022e-05, 9.3087e-05]"
54,Container,8252.0,6,AUCKLAND,1,0.0001215479,"[1.0, 0.998457, 0.999903, 1.0, 1.0]","[0.15857288, 0.19071509, 0.22101441, 0.25304283, 0.27855386]","[0.00011567, 0.00011601, 0.00011601, 0.00010437, 0.00010437]","[1.83429e-05, 2.20902e-05, 2.56368e-05, 2.64106e-05, 2.90733e-05]"
55,RoRo,18334.0,6,AUCKLAND,1,0.0003268644,"[1.0, 1.0, 1.0, 1.0, 0.998457]","[0.33533884, 0.42847487, 0.50273118, 0.68432725, 0.83244732]","[0.00012152, 0.00011482, 0.00012209, 0.00011567, 0.00011601]","[4.0749e-05, 4.91973e-05, 6.13796e-05, 7.91594e-05, 9.64209e-05]"
56,Container,35031.0,7,TAURANGA,1,0.0003304572,"[1.0, 1.0, 1.0, 0.999493, 0.999989, 0.999965]","[0.31641927, 0.33176235, 0.41733625, 0.48393389, 0.54017842, 0.57629829]","[0.00011482, 0.00012209, 0.00011567, 0.00011601, 0.00013371, 0.00013371]","[3.63311e-05, 4.05056e-05, 4.82753e-05, 5.61114e-05, 7.22255e-05, 7.70531e-05]"
57,General Cargo,8378.0,6,AUCKLAND,2,0.0002341649,"[0.999659, 0.999862, 1.0, 1.0, 1.0]","[0.228347, 0.30998445, 0.41704422, 0.51779676, 0.64126691]","[0.00011601, 0.00011601, 0.00010437, 0.00010437, 0.00011567]","[2.64809e-05, 3.59554e-05, 4.35278e-05, 5.40436e-05, 7.41784e-05]"
58,Container,8252.0,6,AUCKLAND,2,0.0001245221,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.15033507, 0.17617142, 0.19728796, 0.22799358, 0.24876267]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623]","[1.9837e-05, 2.32462e-05, 2.60326e-05, 2.64993e-05, 2.89132e-05]"
59,Container,26947.0,7,TAURANGA,1,0.0002470503,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.25563909, 0.2931998, 0.34124776, 0.38266395, 0.40452619, 0.42902435]","[0.00011482, 0.00010419, 0.00012152, 0.00011482, 0.00012209, 0.00012209]","[2.93524e-05, 3.05487e-05, 4.1467e-05, 4.39373e-05, 4.93896e-05, 5.23806e-05]"
60,RoRo,15853.0,7,AUCKLAND,1,0.0004042471,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.30228489, 0.37828397, 0.46510778, 0.55274507, 0.64357249, 0.72210322]","[0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195, 0.00013195]","[3.98871e-05, 4.99154e-05, 6.1372e-05, 7.29359e-05, 8.49208e-05, 9.5283e-05]"
61,RoRo,14283.0,7,AUCKLAND,1,0.0002812034,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.17964525, 0.26001004, 0.3423634, 0.4470961, 0.51702286, 0.69896361]","[9.591e-05, 0.00010419, 0.00012152, 0.00011482, 0.00012209, 0.00011567]","[1.72295e-05, 2.70907e-05, 4.16026e-05, 5.13354e-05, 6.31245e-05, 8.08524e-05]"
62,Container,22314.0,5,TAURANGA,2,0.000184572,"[0.999921, 0.999948, 1.0, 1.0]","[0.37272124, 0.40160977, 0.43894754, 0.46898259]","[0.00011601, 0.00011601, 0.00010437, 0.00010437]","[4.32349e-05, 4.65872e-05, 4.58139e-05, 4.89488e-05]"
63,Container,36917.0,7,LYTTELTON,0,0.0002528208,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.35098019, 0.38215978, 0.42022446, 0.4427783, 0.47777357, 0.51706389]","[8.967e-05, 0.00010536, 0.00010536, 0.00010536, 8.967e-05, 9.156e-05]","[3.14707e-05, 4.02661e-05, 4.42768e-05, 4.66532e-05, 4.28396e-05, 4.7341e-05]"
64,Container,69653.0,7,AUCKLAND,0,0.0003380988,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999965]","[0.34942746, 0.37401914, 0.40924525, 0.4381585, 0.45352825, 0.63607726]","[0.00013195, 0.00013195, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[4.61077e-05, 4.93526e-05, 5.40008e-05, 5.09263e-05, 5.27127e-05, 8.50458e-05]"
65,Bulker,32728.0,5,PORT CHALMERS,4,0.0002270955,"[1.0, 1.0, 1.0, 1.0]","[0.24205976, 0.43398839, 0.58518798, 0.87507129]","[8.906e-05, 8.906e-05, 8.906e-05, 0.00013117]","[2.15588e-05, 3.86528e-05, 5.21192e-05, 0.0001147816]"
66,Container,65710.0,5,AUCKLAND,0,0.0002935049,"[1.0, 1.0, 1.0, 1.0]","[0.49437254, 0.51966234, 0.5757007, 0.63483769]","[0.00013195, 0.00013195, 0.00013195, 0.00013195]","[6.52335e-05, 6.85705e-05, 7.59649e-05, 8.37682e-05]"
67,Container,12502.0,7,TAURANGA,3,0.000146529,"[1.0, 1.0, 1.0, 1.0, 0.999998, 0.999978]","[0.15471925, 0.1692796, 0.19644015, 0.22217719, 0.27248801, 0.33193181]","[0.00010291, 0.00010291, 0.00010291, 0.00010291, 0.00011601, 0.00011601]","[1.59219e-05, 1.74203e-05, 2.02154e-05, 2.28639e-05, 3.16105e-05, 3.85056e-05]"
68,Container,80115.0,6,TAURANGA,0,0.0003598103,"[1.0, 1.0, 1.0, 1.0, 0.999989]","[0.49131752, 0.54229383, 0.579808, 0.60994566, 0.75930161]","[9.871e-05, 0.00013195, 0.00011623, 0.00011623, 0.00013371]","[4.8498e-05, 7.15568e-05, 6.739e-05, 7.08928e-05, 0.0001015238]"
69,General Cargo,20202.0,5,AUCKLAND,2,0.0003175817,"[0.999862, 1.0, 1.0, 1.0]","[0.53937595, 0.66947698, 0.77513358, 0.90148448]","[0.00011601, 0.00010437, 0.00010437, 0.00011567]","[6.25628e-05, 6.98748e-05, 8.09024e-05, 0.000104279]"
70,Container,99863.0,5,AUCKLAND,1,0.000273036,"[1.0, 1.0, 0.643148, 1.0]","[0.53999169, 0.57431553, 0.62059426, 0.79099244]","[0.00010419, 0.00012152, 0.00013909, 0.00011567]","[5.62622e-05, 6.97884e-05, 5.55152e-05, 9.14978e-05]"
71,Container,30136.0,5,TAURANGA,1,0.0002223733,"[1.0, 1.0, 0.999493, 0.999989]","[0.3334515, 0.42043469, 0.49924648, 0.56211884]","[0.00012209, 0.00011567, 0.00011601, 0.00013371]","[4.07119e-05, 4.86337e-05, 5.78868e-05, 7.51591e-05]"
72,Reefer,10338.0,5,TAURANGA,1,0.0002611811,"[1.0, 1.0, 1.0, 0.999921]","[0.35448557, 0.44491792, 0.53883731, 0.72951738]","[0.00013195, 0.00013195, 0.00013195, 0.00011601]","[4.67751e-05, 5.87079e-05, 7.11007e-05, 8.46226e-05]"
73,Container,99863.0,7,TAURANGA,1,0.0003913925,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.45348587, 0.47372045, 0.53813197, 0.579849, 0.63700431, 0.66090912]","[0.00011482, 0.00011482, 0.00010419, 0.00012152, 0.00012209, 0.00012209]","[5.2069e-05, 5.43924e-05, 5.60684e-05, 7.04608e-05, 7.77733e-05, 8.06919e-05]"
74,Bulker,36908.0,5,NELSON,4,0.0002832853,"[1.0, 0.999986, 0.999847, 0.999991]","[0.2667088, 0.54859291, 0.74102231, 0.89735832]","[7.916e-05, 0.00010558, 0.00010558, 0.00014047]","[2.11122e-05, 5.79208e-05, 7.82268e-05, 0.0001260527]"
