voyage_id,vessel_type,dwt,n_ports,nz_dest_port,p_invasion,track,cluster
syn_00036,Reefer,12374.0,7,AUCKLAND,0.000274611,Track1,0
syn_00037,RoRo,9653.0,7,AUCKLAND,0.00028422,Track1,0
syn_00038,General Cargo,12767.0,7,AUCKLAND,0.000263012,Track1,0
syn_00039,Container,92915.0,7,LYTTELTON,0.00025983,Track1,0
syn_00040,Container,65937.0,7,NELSON,0.000329222,Track1,0
syn_00041,Container,30852.0,5,AUCKLAND,0.000176053,Track1,0
syn_00042,Container,30700.0,6,NELSON,0.000140795,Track1,0
syn_00043,Container,21475.0,7,AUCKLAND,0.000210533,Track1,0
syn_00044,Container,80454.0,7,TAURANGA,0.000372076,Track1,0
syn_00045,Container,24157.0,7,TAURANGA,0.000278829,Track1,0
syn_00046,Container,62007.0,7,TIMARU,0.000245127,Track1,0
syn_00047,Container,38004.0,7,NEW PLYMOUTH,0.000261473,Track1,0
syn_00048,RoRo,16837.0,7,AUCKLAND,0.000384532,Track1,0
syn_00049,Container,51737.0,7,AUCKLAND,0.000274687,Track1,0
syn_00050,Container,30813.0,7,AUCKLAND,0.000256277,Track1,0
syn_00051,Container,49842.0,5,NEW PLYMOUTH,0.000179911,Track1,0
syn_00052,RoRo,14906.0,5,AUCKLAND,0.000291787,Track1,0
syn_00053,Container,69107.0,7,AUCKLAND,0.000373864,Track1,0
syn_00054,RoRo,19110.0,7,AUCKLAND,0.00040932,Track1,0
syn_00055,Container,76521.0,7,AUCKLAND,0.000310879,Track1,0
syn_00056,RoRo,16702.0,6,AUCKLAND,0.000356323,Track1,0
syn_00057,RoRo,15089.0,6,TAURANGA,0.000336859,Track1,0
syn_00058,RoRo,19106.0,7,NEW PLYMOUTH,0.000370443,Track1,0
syn_00059,Container,13048.0,7,AUCKLAND,0.000168099,Track1,0
syn_00060,Reefer,12313.0,5,AUCKLAND,0.000230076,Track1,0
syn_00061,RoRo,20581.0,7,AUCKLAND,0.000392382,Track1,0
syn_00062,Tanker,49849.0,5,AUCKLAND,0.000297038,Track1,0
syn_00063,Container,61636.0,7,NAPIER,0.00026382,Track1,0
syn_00064,Container,50604.0,7,AUCKLAND,0.00035743,Track1,0
syn_00065,Bulker,37085.0,7,NELSON,0.000216152,Track1,0
syn_00066,RoRo,14283.0,5,AUCKLAND,0.00029188,Track1,0
syn_00067,Container,24475.0,7,AUCKLAND,0.00025349,Track1,0
syn_00068,RoRo,16837.0,7,TAURANGA,0.000388282,Track1,0
syn_00069,Tanker,49760.0,7,AUCKLAND,0.000268378,Track1,0
syn_00070,Container,39275.0,7,AUCKLAND,0.00034612,Track1,0
syn_00071,RoRo,18481.0,5,AUCKLAND,0.000319233,Track1,0
syn_00072,Container,50567.0,7,AUCKLAND,0.000369668,Track1,0
syn_00073,RoRo,16669.0,5,TAURANGA,0.000234483,Track1,0
syn_00074,Container,30814.0,7,NEW PLYMOUTH,0.000240994,Track1,0
syn_00075,Container,48015.0,7,AUCKLAND,0.000318099,Track1,0
syn_00076,Container,31756.0,7,AUCKLAND,0.00024959,Track1,0
syn_00077,Container,30721.0,7,AUCKLAND,0.000290787,Track1,0
syn_00078,RoRo,12867.0,7,AUCKLAND,0.00038415,Track1,0
syn_00079,Container,30814.0,7,AUCKLAND,0.000254901,Track1,0
syn_00080,RoRo,15068.0,7,AUCKLAND,0.000331327,Track1,0
syn_00081,Container,39383.0,7,NEW PLYMOUTH,0.000280862,Track1,0
syn_00082,Container,69107.0,5,TAURANGA,0.000252696,Track1,0
syn_00083,RoRo,15089.0,5,LYTTELTON,0.000214759,Track1,0
syn_00084,RoRo,17693.0,6,NEW PLYMOUTH,0.000215114,Track1,0
syn_00085,Container,52190.0,5,AUCKLAND,0.000254237,Track1,0
syn_00086,RoRo,14906.0,7,AUCKLAND,0.000293013,Track1,0
syn_00087,Container,24663.0,5,PORT CHALMERS,0.000116518,Track1,0
syn_00088,Container,30700.0,7,AUCKLAND,0.000285413,Track1,0
syn_00089,Container,80225.0,5,AUCKLAND,0.000253633,Track1,0
syn_00090,RoRo,14996.0,5,NAPIER,0.00021367,Track1,0
syn_00091,Reefer,9709.0,7,AUCKLAND,0.000260552,Track1,0
syn_00092,Container,52180.0,7,AUCKLAND,0.00037473,Track1,0
syn_00093,Container,50985.0,7,AUCKLAND,0.000273802,Track1,0
syn_00094,RoRo,15068.0,7,NEW PLYMOUTH,0.000232242,Track1,0
syn_00095,General Cargo,18946.0,5,AUCKLAND,0.000265046,Track1,0
syn_00096,Container,53870.0,7,AUCKLAND,0.000348264,Track1,0
syn_00097,Container,34409.0,7,NELSON,0.000175086,Track1,0
syn_00098,Container,53050.0,5,AUCKLAND,0.000263139,Track1,0
syn_00099,Container,76521.0,7,AUCKLAND,0.000426604,Track1,0
syn_00100,Container,80398.0,7,AUCKLAND,0.000441652,Track1,0
syn_00101,RoRo,17693.0,5,AUCKLAND,0.000288492,Track1,0
syn_00102,RoRo,14906.0,7,GISBORNE,0.000281338,Track1,0
syn_00103,Container,51731.0,7,AUCKLAND,0.000344487,Track1,0
syn_00104,Container,53327.0,7,LYTTELTON,0.000269133,Track1,0
syn_00105,Container,30814.0,7,WELLINGTON,0.000164848,Track1,0
syn_00106,Container,13803.0,7,AUCKLAND,0.000149235,Track1,0
syn_00107,Container,52216.0,7,AUCKLAND,0.000252533,Track1,0
syn_00108,Container,65937.0,7,AUCKLAND,0.000323163,Track1,0
syn_00109,Container,23435.0,7,AUCKLAND,0.00024782,Track1,0
syn_00110,Tanker,12702.0,5,AUCKLAND,0.000147945,Track1,0
syn_00111,Container,51850.0,7,AUCKLAND,0.000297939,Track1,0
syn_00112,Container,38420.0,5,LYTTELTON,0.000153705,Track1,0
syn_00113,RoRo,14906.0,7,AUCKLAND,0.000386451,Track1,0
syn_00114,Container,31756.0,7,AUCKLAND,0.000254061,Track1,0
syn_00115,Container,38420.0,7,AUCKLAND,0.000317524,Track1,0
syn_00116,Container,51737.0,6,GISBORNE,0.000259768,Track1,0
syn_00117,Container,42614.0,7,AUCKLAND,0.00032317,Track1,0
syn_00118,RoRo,15128.0,6,AUCKLAND,0.00030795,Track1,0
syn_00119,RoRo,19110.0,7,NEW PLYMOUTH,0.000324623,Track1,0
syn_00120,Container,50278.0,7,WELLINGTON,0.000282945,Track1,0
syn_00121,Container,52216.0,7,TIMARU,0.000177445,Track1,0
syn_00122,Tanker,12817.0,7,AUCKLAND,0.000290113,Track1,0
syn_00123,Container,38975.0,7,TIMARU,0.000229198,Track1,0
syn_00124,Container,65937.0,6,TIMARU,0.000246716,Track1,0
syn_00125,Reefer,13055.0,7,LYTTELTON,0.000295384,Track1,0
syn_00126,Reefer,12354.0,7,AUCKLAND,0.000338644,Track1,0
syn_00127,RoRo,22514.0,6,AUCKLAND,0.000253882,Track1,0
syn_00128,RoRo,15128.0,5,NAPIER,0.000276465,Track1,0
syn_00129,Reefer,12313.0,7,LYTTELTON,0.000218964,Track1,0
syn_00130,Container,52190.0,6,AUCKLAND,0.00030793,Track1,0
syn_00131,RoRo,12200.0,5,LYTTELTON,0.000170897,Track1,0
syn_00132,RoRo,12909.0,5,TIMARU,0.000203244,Track1,0
syn_00133,Container,53870.0,7,AUCKLAND,0.000255982,Track1,0
syn_00134,Reefer,12354.0,6,AUCKLAND,0.000258633,Track1,0
syn_00135,Container,51372.0,7,AUCKLAND,0.000268836,Track1,0
syn_00136,RoRo,14906.0,7,AUCKLAND,0.000346385,Track1,0
syn_00137,Reefer,9709.0,7,AUCKLAND,0.000312241,Track1,0
syn_00138,RoRo,22514.0,7,AUCKLAND,0.000423204,Track1,0
syn_00139,RoRo,12105.0,5,AUCKLAND,0.000242908,Track1,0
syn_00140,Container,38420.0,7,WELLINGTON,0.000226145,Track1,0
syn_00141,Container,48015.0,5,AUCKLAND,0.000238875,Track1,0
syn_00142,Container,52190.0,7,AUCKLAND,0.000308702,Track1,0
syn_00143,Reefer,12354.0,5,NAPIER,0.000243997,Track1,0
syn_00144,Container,51737.0,7,AUCKLAND,0.000327039,Track1,0
syn_00145,RoRo,12988.0,7,AUCKLAND,0.000379566,Track1,0
syn_00146,RoRo,18864.0,5,WELLINGTON,0.000226873,Track1,0
syn_00147,Other,5488.0,6,AUCKLAND,0.000123433,Track1,0
syn_00148,Container,52190.0,5,NAPIER,0.00014145,Track1,0
syn_00149,RoRo,15089.0,7,AUCKLAND,0.00038746,Track1,0
syn_00150,RoRo,16837.0,5,AUCKLAND,0.000258194,Track1,0
syn_00151,RoRo,12200.0,7,AUCKLAND,0.000326395,Track1,0
syn_00152,RoRo,16837.0,5,NELSON,0.00024486,Track1,0
syn_00153,Bulker,31939.0,7,TAURANGA,0.0002583,Track1,0
syn_00154,Container,65710.0,7,AUCKLAND,0.000382714,Track1,0
syn_00155,Container,50604.0,7,AUCKLAND,0.000357561,Track1,0
syn_00156,Container,80293.0,7,TIMARU,0.000289405,Track1,0
syn_00157,Tanker,19956.0,7,AUCKLAND,0.000258327,Track1,0
syn_00158,RoRo,14906.0,7,AUCKLAND,0.000381575,Track1,0
syn_00159,Container,36307.0,7,AUCKLAND,0.000259695,Track1,0
syn_00160,Container,31756.0,5,LYTTELTON,0.000146604,Track1,0
syn_00161,General Cargo,17325.0,7,AUCKLAND,0.000220021,Track1,0
syn_00162,Tanker,49993.0,5,TIMARU,0.000183035,Track1,0
syn_00163,Tanker,49859.0,7,AUCKLAND,0.000234645,Track1,0
syn_00164,Tanker,49999.0,7,AUCKLAND,0.00028731,Track1,0
syn_00165,Container,39275.0,7,AUCKLAND,0.000286988,Track1,0
syn_00166,Container,52190.0,6,AUCKLAND,0.00026493,Track1,0
syn_00167,General Cargo,12267.0,7,AUCKLAND,0.00026375,Track1,0
syn_00168,RoRo,15261.0,7,AUCKLAND,0.000321663,Track1,0
syn_00169,Container,30813.0,7,AUCKLAND,0.00027328,Track1,0
syn_00170,RoRo,15089.0,7,TAURANGA,0.000343936,Track1,0
syn_00171,RoRo,18855.0,7,AUCKLAND,0.000330915,Track1,0
syn_00172,RoRo,18418.0,7,AUCKLAND,0.000403549,Track1,0
syn_00173,Container,69107.0,6,AUCKLAND,0.000312678,Track1,0
syn_00174,General Cargo,12867.0,7,AUCKLAND,0.000254586,Track1,0
syn_00175,Container,21475.0,7,AUCKLAND,0.000162064,Track1,0
syn_00176,Container,45095.0,6,NAPIER,0.000197829,Track1,0
syn_00177,Container,69107.0,7,AUCKLAND,0.000398765,Track1,0
syn_00178,Tanker,49993.0,7,WELLINGTON,0.000169295,Track1,0
syn_00179,Container,80225.0,5,NAPIER,0.000170464,Track1,0
syn_00180,RoRo,15089.0,7,AUCKLAND,0.000365948,Track1,0
syn_00181,RoRo,17693.0,7,AUCKLAND,0.000383432,Track1,0
syn_00182,Bulker,28250.0,7,NAPIER,0.000235153,Track1,0
syn_00183,Bulker,37085.0,7,AUCKLAND,0.000314572,Track1,0
syn_00184,Container,69423.0,7,AUCKLAND,0.000395967,Track1,0
syn_00185,Container,23524.0,6,AUCKLAND,0.000231716,Track1,0
syn_00186,Container,52190.0,7,AUCKLAND,0.000305302,Track1,0
syn_00187,Container,49842.0,7,NEW PLYMOUTH,0.000246358,Track1,0
syn_00188,Tanker,12493.0,5,NEW PLYMOUTH,0.000120646,Track1,0
syn_00189,RoRo,16837.0,7,AUCKLAND,0.000329322,Track1,0
syn_00190,RoRo,14906.0,7,AUCKLAND,0.000243532,Track1,0
syn_00191,Container,8244.0,7,AUCKLAND,0.000129156,Track1,0
syn_00192,Reefer,13055.0,6,TIMARU,0.000189638,Track1,0
syn_00193,Container,80398.0,7,AUCKLAND,0.000362236,Track1,0
syn_00194,Other,5488.0,5,NELSON,7.77e-05,Track1,0
syn_00195,Container,30813.0,7,AUCKLAND,0.000294571,Track1,0
syn_00196,RoRo,12867.0,6,AUCKLAND,0.000302611,Track1,0
syn_00197,RoRo,15068.0,5,AUCKLAND,0.000230324,Track1,0
syn_00198,Container,40208.0,5,NEW PLYMOUTH,0.000174822,Track1,0
syn_00199,General Cargo,37154.0,7,AUCKLAND,0.000401374,Track1,0
syn_00200,Container,21475.0,7,AUCKLAND,0.000176949,Track1,0
syn_00201,Reefer,12354.0,7,AUCKLAND,0.000349632,Track1,0
syn_00202,RoRo,20581.0,7,AUCKLAND,0.000379096,Track1,0
syn_00203,Container,52683.0,7,AUCKLAND,0.00029717,Track1,0
syn_00204,Container,51731.0,7,AUCKLAND,0.00036098,Track1,0
syn_00205,Container,24663.0,5,AUCKLAND,0.000166924,Track1,0
syn_00206,Container,51737.0,5,NAPIER,0.000228264,Track1,0
syn_00207,Container,52216.0,7,AUCKLAND,0.000282274,Track1,0
syn_00208,Reefer,12313.0,7,AUCKLAND,0.000326258,Track1,0
syn_00209,Tanker,49990.0,5,TIMARU,0.000184428,Track1,0
syn_00210,RoRo,9274.0,7,AUCKLAND,0.000255966,Track1,0
syn_00211,Container,53327.0,7,AUCKLAND,0.000313127,Track1,0
syn_00212,RoRo,18701.0,7,TAURANGA,0.000320571,Track1,0
syn_00213,Container,50567.0,7,NEW PLYMOUTH,0.000214476,Track1,0
syn_00214,RoRo,15068.0,7,AUCKLAND,0.000386927,Track1,0
syn_00215,Container,39383.0,5,AUCKLAND,0.000186929,Track1,0
syn_00216,Container,31756.0,7,NEW PLYMOUTH,0.000172622,Track1,0
syn_00217,RoRo,9491.0,7,AUCKLAND,0.000241303,Track1,0
syn_00218,RoRo,12988.0,6,TIMARU,0.000162045,Track1,0
syn_00219,Container,52216.0,7,AUCKLAND,0.000299712,Track1,0
syn_00220,RoRo,15261.0,6,LYTTELTON,0.000223299,Track1,0
syn_00221,RoRo,14906.0,5,AUCKLAND,0.000292497,Track1,0
syn_00222,Container,50604.0,7,AUCKLAND,0.000299849,Track1,0
syn_00223,RoRo,22815.0,7,AUCKLAND,0.000414906,Track1,0
syn_00224,Container,30852.0,6,AUCKLAND,0.00024309,Track1,0
syn_00225,Container,65710.0,5,PORT CHALMERS,0.000140168,Track1,0
syn_00226,RoRo,15068.0,7,WELLINGTON,0.000201584,Track1,0
syn_00227,RoRo,14906.0,7,AUCKLAND,0.000293786,Track1,0
syn_00228,Reefer,12374.0,7,AUCKLAND,0.000303698,Track1,0
syn_00229,Tanker,12812.0,7,GISBORNE,0.000160885,Track1,0
syn_00230,Container,12502.0,7,AUCKLAND,0.000177424,Track1,0
syn_00231,General Cargo,31288.0,6,AUCKLAND,0.000296301,Track1,0
syn_00232,RoRo,14906.0,6,NEW PLYMOUTH,0.00024545,Track1,0
syn_00233,Container,54405.0,7,AUCKLAND,0.000372338,Track1,0
syn_00234,RoRo,9653.0,7,WELLINGTON,0.000190328,Track1,0
syn_00235,Container,51737.0,6,AUCKLAND,0.000308801,Track1,0
syn_00236,Container,51653.0,7,AUCKLAND,0.000364742,Track1,0
syn_00237,Container,80409.0,6,WELLINGTON,0.00017025,Track1,0
syn_00238,RoRo,18396.0,5,NEW PLYMOUTH,0.000236714,Track1,0
syn_00239,RoRo,15506.0,5,AUCKLAND,0.000194,Track1,0
syn_00240,General Cargo,5250.0,7,AUCKLAND,0.000167487,Track1,0
syn_00241,RoRo,12988.0,7,AUCKLAND,0.000311781,Track1,0
syn_00242,Container,50604.0,5,TIMARU,0.000137651,Track1,0
syn_00243,Bulker,34393.0,7,NAPIER,0.000216242,Track1,0
syn_00244,Reefer,10100.0,7,AUCKLAND,0.000305827,Track1,0
syn_00245,Tanker,12494.0,5,AUCKLAND,0.000250348,Track1,0
syn_00246,RoRo,14906.0,7,AUCKLAND,0.00033397,Track1,0
syn_00247,Container,53870.0,6,AUCKLAND,0.000323735,Track1,0
syn_00248,General Cargo,31288.0,6,GISBORNE,0.000272571,Track1,0
syn_00249,RoRo,14906.0,7,AUCKLAND,0.000424043,Track1,0
syn_00250,Container,53278.0,7,AUCKLAND,0.000320824,Track1,0
syn_00251,General Cargo,18638.0,7,TAURANGA,0.000281391,Track1,0
syn_00252,Container,92915.0,7,AUCKLAND,0.000380902,Track1,0
syn_00253,Container,51653.0,5,AUCKLAND,0.000207215,Track1,0
syn_00254,Container,52190.0,7,NEW PLYMOUTH,0.000168624,Track1,0
syn_00255,General Cargo,12649.0,7,TIMARU,0.000272525,Track1,0
syn_00256,RoRo,22514.0,7,AUCKLAND,0.000383553,Track1,0
syn_00257,RoRo,14906.0,7,AUCKLAND,0.000319873,Track1,0
syn_00258,Container,52216.0,5,AUCKLAND,0.000245883,Track1,0
syn_00259,Container,50985.0,7,TAURANGA,0.000339533,Track1,0
syn_00260,RoRo,22514.0,7,AUCKLAND,0.000328943,Track1,0
syn_00261,RoRo,14906.0,7,AUCKLAND,0.000361008,Track1,0
syn_00262,Container,51533.0,6,AUCKLAND,0.000239941,Track1,0
syn_00263,Reefer,12313.0,7,AUCKLAND,0.000315568,Track1,0
syn_00264,Reefer,12374.0,7,AUCKLAND,0.000324065,Track1,0
syn_00265,Container,52216.0,7,GISBORNE,0.000241998,Track1,0
syn_00266,RoRo,15506.0,7,PORT CHALMERS,0.000219573,Track1,0
syn_00267,Container,51533.0,7,AUCKLAND,0.000361971,Track1,0
syn_00268,Container,65710.0,7,NEW PLYMOUTH,0.000279657,Track1,0
syn_00269,RoRo,15495.0,7,LYTTELTON,0.000284563,Track1,0
syn_00270,RoRo,18924.0,7,AUCKLAND,0.000415406,Track1,0
syn_00271,Container,50567.0,6,TAURANGA,0.000277199,Track1,0
syn_00272,Container,51737.0,5,PORT CHALMERS,0.000129928,Track1,0
syn_00273,Container,8244.0,7,AUCKLAND,0.000132685,Track1,0
syn_00274,RoRo,14906.0,7,AUCKLAND,0.000383141,Track1,0
syn_00275,Container,50201.0,7,AUCKLAND,0.00034109,Track1,0
syn_00276,Container,53870.0,7,AUCKLAND,0.000380035,Track1,0
syn_00277,RoRo,14906.0,7,AUCKLAND,0.000330804,Track1,0
syn_00278,Container,52180.0,7,AUCKLAND,0.000354403,Track1,0
syn_00279,General Cargo,31288.0,7,AUCKLAND,0.000406701,Track1,0
syn_00280,Reefer,13055.0,7,LYTTELTON,0.000308613,Track1,0
syn_00281,RoRo,14906.0,6,NEW PLYMOUTH,0.00019317,Track1,0
syn_00282,RoRo,18864.0,7,WELLINGTON,0.000331455,Track1,0
syn_00283,Container,62007.0,7,AUCKLAND,0.000361336,Track1,0
syn_00284,Container,51850.0,7,LYTTELTON,0.000271007,Track1,0
syn_00285,RoRo,15089.0,7,WELLINGTON,0.000266637,Track1,0
syn_00286,Container,30814.0,7,NELSON,0.000181469,Track1,0
syn_00287,Tanker,16297.0,7,AUCKLAND,0.000265182,Track1,0
syn_00288,Tanker,49999.0,7,AUCKLAND,0.000246088,Track1,0
syn_00289,RoRo,12867.0,7,AUCKLAND,0.000357699,Track1,0
syn_00290,Container,38975.0,6,AUCKLAND,0.00029171,Track1,0
syn_00291,Container,51737.0,7,AUCKLAND,0.000373744,Track1,0
syn_00292,Container,34194.0,5,AUCKLAND,0.000244699,Track1,0
syn_00293,RoRo,15068.0,7,AUCKLAND,0.000405077,Track1,0
syn_00294,Container,69107.0,7,AUCKLAND,0.000392991,Track1,0
syn_00295,Container,24663.0,7,AUCKLAND,0.000245848,Track1,0
syn_00296,Container,51850.0,5,NAPIER,0.000229721,Track1,0
syn_00297,Tanker,12812.0,7,NEW PLYMOUTH,0.000146184,Track1,0
syn_00298,Container,69107.0,7,AUCKLAND,0.000373625,Track1,0
syn_00299,RoRo,12867.0,7,AUCKLAND,0.000340622,Track1,0
syn_00300,Reefer,12313.0,7,AUCKLAND,0.00039367,Track1,0
syn_00301,Container,53278.0,5,NELSON,0.000178315,Track1,0
syn_00302,Tanker,49999.0,7,WELLINGTON,0.000181861,Track1,0
syn_00303,RoRo,18918.0,6,NEW PLYMOUTH,0.000174304,Track1,0
syn_00304,General Cargo,31288.0,7,AUCKLAND,0.000363492,Track1,0
syn_00305,RoRo,12221.0,7,TAURANGA,0.000270616,Track1,0
syn_00306,RoRo,14906.0,6,LYTTELTON,0.000204351,Track1,0
syn_00307,Container,58350.0,7,AUCKLAND,0.000338702,Track1,0
syn_00308,Container,50604.0,5,AUCKLAND,0.00023771,Track1,0
syn_00309,RoRo,17713.0,6,AUCKLAND,0.000299016,Track1,0
syn_00310,RoRo,12988.0,5,AUCKLAND,0.000253055,Track1,0
syn_00311,General Cargo,17280.0,7,AUCKLAND,0.000396812,Track1,0
syn_00312,Container,48015.0,7,AUCKLAND,0.000311426,Track1,0
syn_00313,RoRo,18828.0,7,AUCKLAND,0.000410478,Track1,0
syn_00314,Container,30813.0,5,TAURANGA,0.000165079,Track1,0
syn_00315,RoRo,20581.0,7,TIMARU,0.0003061,Track1,0
syn_00316,RoRo,15068.0,7,NEW PLYMOUTH,0.000256597,Track1,0
syn_00317,Container,50567.0,5,AUCKLAND,0.000247265,Track1,0
syn_00318,RoRo,20581.0,7,AUCKLAND,0.000372069,Track1,0
syn_00319,Container,30721.0,7,NEW PLYMOUTH,0.00023005,Track1,0
syn_00320,Container,52216.0,7,AUCKLAND,0.000342521,Track1,0
syn_00321,Container,8244.0,7,NAPIER,7.64e-05,Track1,0
syn_00322,Container,50278.0,7,WELLINGTON,0.000290347,Track1,0
syn_00323,RoRo,15089.0,5,WELLINGTON,0.000221513,Track1,0
syn_00324,RoRo,9274.0,7,AUCKLAND,0.000269846,Track1,0
syn_00325,RoRo,15506.0,7,TAURANGA,0.000357679,Track1,0
syn_00326,General Cargo,12867.0,6,LYTTELTON,0.000207666,Track1,0
syn_00327,General Cargo,5488.0,5,AUCKLAND,0.0001297,Track1,0
syn_00328,Reefer,12374.0,7,AUCKLAND,0.000355234,Track1,0
syn_00329,RoRo,16669.0,7,AUCKLAND,0.00030161,Track1,0
syn_00330,Container,52532.0,7,AUCKLAND,0.000364791,Track1,0
syn_00331,Container,50985.0,7,AUCKLAND,0.000281417,Track1,0
syn_00332,Container,50567.0,5,AUCKLAND,0.000166446,Track1,0
syn_00333,Container,50567.0,7,PORT CHALMERS,0.000224393,Track1,0
syn_00334,Container,52190.0,7,AUCKLAND,0.000392697,Track1,0
syn_00335,Container,65165.0,5,NEW PLYMOUTH,0.000252687,Track1,0
syn_00336,Container,38420.0,6,PORT CHALMERS,0.000164207,Track1,0
syn_00337,Container,80225.0,7,AUCKLAND,0.000387826,Track1,0
syn_00338,Container,50201.0,7,AUCKLAND,0.000296824,Track1,0
syn_00339,Reefer,10100.0,5,AUCKLAND,0.000219739,Track1,0
syn_00340,General Cargo,14034.0,7,AUCKLAND,0.000295383,Track1,0
syn_00341,RoRo,15068.0,6,AUCKLAND,0.000267269,Track1,0
syn_00342,Container,52216.0,7,AUCKLAND,0.000399505,Track1,0
syn_00343,RoRo,15089.0,7,AUCKLAND,0.000356195,Track1,0
syn_00344,Container,23524.0,7,AUCKLAND,0.000203188,Track1,0
syn_00345,Tanker,12494.0,7,AUCKLAND,0.000220697,Track1,0
syn_00346,Container,58350.0,7,WELLINGTON,0.000277937,Track1,0
syn_00347,Reefer,9709.0,7,AUCKLAND,0.000295319,Track1,0
syn_00348,Reefer,10608.0,7,LYTTELTON,0.00025852,Track1,0
syn_00349,Container,21475.0,7,WELLINGTON,0.000149632,Track1,0
syn_00350,Container,65364.0,7,AUCKLAND,0.000364048,Track1,0
syn_00351,RoRo,14283.0,7,PORT CHALMERS,0.000211116,Track1,0
syn_00352,Tanker,7532.0,5,AUCKLAND,0.000198074,Track1,0
syn_00353,RoRo,15089.0,5,GISBORNE,0.000243211,Track1,0
syn_00354,RoRo,18556.0,7,PORT CHALMERS,0.000215865,Track1,0
syn_00355,Container,53278.0,7,AUCKLAND,0.000358319,Track1,0
syn_00356,Container,52216.0,7,AUCKLAND,0.000372153,Track1,0
syn_00357,Container,52216.0,6,AUCKLAND,0.000265387,Track1,0
syn_00358,RoRo,17339.0,5,AUCKLAND,0.000313048,Track1,0
syn_00359,RoRo,22815.0,7,AUCKLAND,0.000431352,Track1,0
syn_00360,Container,61636.0,5,AUCKLAND,0.000288687,Track1,0
syn_00361,Container,80409.0,5,AUCKLAND,0.000260517,Track1,0
syn_00362,Container,65937.0,7,GISBORNE,0.000323995,Track1,0
syn_00363,Container,53327.0,5,NEW PLYMOUTH,0.000160653,Track1,0
syn_00364,RoRo,18918.0,5,TAURANGA,0.000271097,Track1,0
syn_00365,RoRo,12909.0,6,TAURANGA,0.000298186,Track1,0
syn_00366,General Cargo,51800.0,7,AUCKLAND,0.000417386,Track1,0
syn_00367,Container,50604.0,7,AUCKLAND,0.000249248,Track1,0
syn_00368,Reefer,10601.0,7,AUCKLAND,0.000226379,Track1,0
syn_00369,RoRo,22514.0,7,AUCKLAND,0.000397187,Track1,0
syn_00370,Container,21475.0,6,NEW PLYMOUTH,0.000171944,Track1,0
syn_00371,RoRo,14906.0,7,AUCKLAND,0.000300415,Track1,0
syn_00372,Container,80115.0,6,AUCKLAND,0.000262149,Track1,0
syn_00373,Container,76521.0,5,NAPIER,0.00023152,Track1,0
syn_00374,RoRo,12867.0,7,AUCKLAND,0.000337681,Track1,0
syn_00375,Tanker,49999.0,7,AUCKLAND,0.000213791,Track1,0
