ports,transits_hours,dwells_hours,n_ports,vessel_type,dwt,cluster_k,nz_destination
"['MELBOURNE', 'KEMBLA', 'BRISBANE', 'BOTANY', 'YOKOHAMA', 'SUVA', 'AUCKLAND']","[0.9182015160018078, 88.28815659708852, 32.70052678995534, 26.468421156431056, 214.9625752511174, 198.23240055639243, 118.77854067254586]","[20.01281831987936, 16.81772497939838, 13.852230964586639, 11.567153114238817, 6.57658944040979, 11.682050045096528, 28.332357789896143]",7,RoRo,15068.0,0,AUCKLAND
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'TAURANGA']","[0.3430880108174921, 262.1869364688899, 177.07364702378516, 90.1429409731827, 95.14047822970497]","[25.647433528750852, 18.77120849238995, 19.06330157431448, 14.456464196287484, 35.74996548102977]",5,Container,35225.0,1,TAURANGA
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.1448141913930734, 26.465586284601805, 73.73101928838781, 42.87808019912026, 4.615462508771459, 230.94986431506607, 132.2925782453623]","[15.069789228179037, 24.832386081849325, 22.427642719299808, 18.621182151633192, 15.315684369232422, 30.236208675219732, 57.57037577371507]",7,Container,52190.0,0,AUCKLAND
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'AUCKLAND']","[0.1544260443172809, 53.3635181277871, 59.29607845020424, 43.71928364649265, 4.615462508771459, 262.4080045350207]","[12.608510298299183, 21.55170102037123, 19.598815318031278, 17.3400891225678, 14.765161004258058, 27.990435172545457]",6,Container,50278.0,0,AUCKLAND
"['PARANAGU_', 'R_O DE LA PLATA', 'SAN LORENZO', 'ZONA COMUN', 'NEWCASTLE', 'BRISBANE', 'AUCKLAND']","[0.2265538036077257, 164.72428286433015, 71.34206601803434, 35.73052252172099, 479.27382610795274, 102.10929953031486, 200.48227335838857]","[50.76794391427366, 42.91962666779094, 46.24677919407374, 56.32873346919757, 47.44612827517904, 69.57493960956968, 79.3541835908024]",7,Bulker,39752.0,1,AUCKLAND
"['SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'TAURANGA']","[0.16141078635652284, 74.96779637146477, 8.196790298744265, 221.14604407501247, 124.75269352477788, 36.24056794000994, 236.97530041880424]","[10.150169183289472, 16.34377446641157, 13.396962441435688, 18.021306415748477, 13.507426803992148, 37.4613319078084, 36.57500113830135]",7,Container,35225.0,1,TAURANGA
"['SINGAPORE', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'NEW PLYMOUTH']","[0.5605234317835406, 243.37466474947547, 97.42529089961518, 116.87629056596724, 144.0618828105331]","[58.20901207218809, 37.40183389903336, 53.09724054095479, 49.13445561245518, 39.455732062075136]",5,Tanker,49999.0,4,NEW PLYMOUTH
"['SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'YOKOHAMA', 'SUVA', 'AUCKLAND']","[0.4823270019007986, 13.04346004737678, 45.31188664184426, 21.547515480921483, 67.31280909575923, 245.17648459179355, 109.006863611223]","[18.607406710244227, 22.80746941187708, 14.457790956019101, 12.987281073000126, 14.433862335024385, 28.03759167857289, 33.44392687392533]",7,RoRo,17693.0,0,AUCKLAND
"['SIPITANG, SABAH', 'TOWNSVILLE', 'BRISBANE', 'KEMBLA', 'MELBOURNE', 'TAURANGA']","[0.17997443887366948, 180.3593449480584, 150.952932027723, 121.78161362451897, 127.73636434422986, 208.98980866644274]","[55.704545019415164, 56.57592251566182, 58.18068612851771, 82.016451637304, 102.40007166461865, 118.49163378381935]",6,Bulker,93296.0,4,TAURANGA
"['MAJISTAN', 'HONG KONG', 'BRISBANE', 'KEMBLA', 'TAURANGA']","[0.3257987538696978, 85.92208028503796, 261.0129195516875, 121.78161362451897, 173.03388895566695]","[51.114177849319034, 53.40245898945326, 50.06521647626674, 99.14883003109625, 107.64716212310016]",5,Bulker,36006.0,4,TAURANGA
"['MOTUKEA ISLAND', 'LAE', 'RABAUL', 'HONIARA', 'NOUMEA', 'TAURANGA']","[0.16204345991689606, 43.788266910915446, 45.99572984481387, 41.68058328906932, 42.96910916233832, 59.53259135277697]","[32.3119384201403, 30.40748888672363, 32.77299698963703, 26.219850830865003, 27.14711975872019, 33.02068280271251]",6,Container,12502.0,3,TAURANGA
"['SUVA', 'APIA', 'PAGO PAGO HARBOR', 'ALOFI', 'NEIAFU', ""NUKU'ALOFA"", 'AUCKLAND']","[0.4846265709582205, 60.75940898788983, 18.573865949492788, 32.39754514925344, 42.05006858533155, 16.194789653086694, 64.73003365718924]","[37.19931232334525, 24.407006458801444, 27.16124762778871, 44.87797674620799, 23.44957133556457, 18.125188880456864, 76.03982881087029]",7,Container,8252.0,2,AUCKLAND
"['LE HAVRE', 'SANTANDER', 'ELIZABETH', 'DURBAN', 'GISBORNE']","[0.5740788696429004, 52.73801367361599, 304.59909915192844, 60.46624507281043, 341.38410706633505]","[20.040774932794736, 23.479948025751174, 29.21287443494763, 32.80764896937436, 16.47735309195268]",5,RoRo,22271.0,1,GISBORNE
"['GAMCHEON', 'GUANGZHOU', 'LAE', 'RABAUL', 'HONIARA', 'NOUMEA', 'AUCKLAND']","[0.18991600929552188, 158.72175927731072, 143.36385089222418, 58.744820200500705, 57.00908813036756, 42.96910916233832, 186.17428303770942]","[26.309500651876245, 36.00244221449322, 21.23398636839147, 17.492056918506147, 23.33720979864468, 35.89993349883998, 73.33466389703348]",7,Container,65937.0,0,AUCKLAND
"['SAVANNAH', 'KINGSTON', 'CRIST_BAL', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'TAURANGA']","[0.19488990769140302, 64.22942323058446, 90.07988545038295, 222.99706201189144, 124.75269352477788, 71.6631860396544, 153.73593631785374]","[15.458551527762264, 16.01020708979296, 18.27262828408874, 19.52724260135793, 15.529393727992865, 41.39507088662929, 38.93143590712085]",7,Container,30136.0,1,TAURANGA
"['HONG KONG', 'KEELUNG', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'AUCKLAND']","[0.5000279869032433, 27.66062225461552, 102.6641972438491, 16.162548319575574, 40.96231625230074, 93.94248325432183, 245.11137934990364]","[14.684692806396912, 16.098093590267347, 26.01998792276879, 15.037354288786165, 22.966381845513286, 29.234447608034074, 42.70777707231411]",7,Container,13102.0,3,AUCKLAND
"['SIPITANG, SABAH', 'BRISBANE', 'NEWCASTLE', 'GEELONG', 'ADELAIDE', 'PORT CHALMERS']","[0.20844817800733928, 222.36323665541428, 102.10929953031486, 76.98380148222442, 107.17414356388419, 271.0612890590166]","[80.65405213427215, 72.17534085126982, 75.04865274821958, 94.9542988468649, 91.74904657688643, 72.33222844661367]",6,Bulker,37555.0,4,PORT CHALMERS
"['NEWARK', 'SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'TAURANGA']","[0.28174792781366653, 40.162010225192645, 74.96779637146477, 8.196790298744265, 221.14604407501247, 124.75269352477788, 221.84057854210118]","[18.548345608890255, 23.203107823358152, 19.87527439541526, 26.79023874135064, 20.246705841313585, 33.04721102244245, 37.05934955809414]",7,Container,35225.0,1,TAURANGA
"['CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'TAURANGA']","[0.27817197391249926, 8.196790298744265, 221.14604407501247, 124.75269352477788, 63.48346242254647, 23.49034704108316, 204.29849594127182]","[17.23982772120599, 13.74508129264149, 13.062409987600535, 15.45702163232406, 27.805626675634766, 33.387942780047666, 36.13182061517617]",7,Container,117175.0,1,TAURANGA
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'TAURANGA']","[0.4864877208429348, 262.1869364688899, 175.54635666391442, 86.91206466845935, 39.69083406976974, 32.966651447894314, 94.40674190873153]","[19.10612156212022, 16.82350598719883, 15.130371047276196, 30.663949015119016, 18.257993285209814, 27.612797344822877, 32.05976077027429]",7,Container,30189.0,1,TAURANGA
"['NOUMEA', 'BRISBANE', 'OSAKA', 'YOKKAICHI', 'YOKOHAMA', 'AUCKLAND']","[0.26657104676406784, 36.80979152021951, 199.7215539334116, 18.653569370522305, 15.05236668270446, 242.57593941877514]","[16.823632961280865, 12.355416441720042, 12.554446307365932, 13.156432564978088, 17.958449466538454, 33.67825902033339]",6,RoRo,15089.0,0,AUCKLAND
"['CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'TAURANGA']","[0.4185344512576332, 8.196790298744265, 221.14604407501247, 124.75269352477788, 47.34673099288576, 24.93382897356077, 132.94043293307845]","[14.542492588609138, 11.558334458448297, 17.02855903511208, 16.35291399424128, 32.41016820304949, 18.925663829871773, 30.645710434662263]",7,Container,110387.0,1,TAURANGA
"['ONSAN', 'SHANGHAI', 'ZHOUSHAN', 'HONG KONG', 'BRISBANE', 'NEW PLYMOUTH']","[0.5352128262594864, 29.68551981037469, 20.652145075013234, 107.91336770859577, 382.18296431377246, 341.47524322039106]","[57.83348772540174, 59.76871547457902, 67.82367212687798, 84.75565958321253, 96.57347108707023, 72.11507324527099]",6,Bulker,36170.0,4,NEW PLYMOUTH
"['SUZHOU', 'QINGDAO', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'AUCKLAND']","[0.355001419815973, 42.38028709538742, 59.93808197393393, 16.162548319575574, 67.56334042546236, 263.24159665181946]","[24.50218619941354, 24.489959227783128, 21.57435327363916, 14.087216278760524, 25.444531125844424, 22.959461825837305]",6,Container,31756.0,0,AUCKLAND
"['HONG KONG', 'KEELUNG', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'AUCKLAND']","[0.2893341719500342, 27.66062225461552, 39.44776629527146, 16.162548319575574, 40.96231625230074, 32.894994122656335, 245.11137934990364]","[17.91449764369114, 18.471211570344263, 24.376969722355703, 19.84266980091877, 10.825283159796918, 17.419199607447528, 39.8614640771844]",7,Container,50567.0,0,AUCKLAND
"['SUVA', 'LAUTOKA', 'APIA', 'PAGO PAGO HARBOR', ""NUKU'ALOFA"", 'TAURANGA']","[0.34920993762384356, 11.042175086045575, 44.79696221926476, 18.794162746666878, 25.87068755735586, 57.103410313499545]","[35.84717865361764, 31.59431146556721, 30.62442705184989, 31.967681919022098, 16.983844220447292, 33.52822393984234]",6,Container,22968.0,2,TAURANGA
"['YOKOHAMA', 'OSAKA', 'YOKKAICHI', 'KISARAZU', 'AUCKLAND']","[1.0281684915346663, 24.939494320464185, 30.937054228068476, 14.788263842107131, 243.72966830339644]","[20.21220895967544, 19.270461571364287, 18.699047201255173, 13.494340020473825, 18.22019865989036]",5,RoRo,14996.0,0,AUCKLAND
"['SAVANNAH', 'CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'RODMAN', 'TAURANGA']","[0.3289800786207595, 74.96779637146477, 73.20215559856872, 101.59737526153792, 52.443698654604546, 78.53432371272801, 333.6848902733583]","[17.831623740574912, 22.022972398772776, 20.498170465110658, 15.94615003646857, 26.801211678021062, 47.912836140533145, 39.815355149380245]",7,Container,41028.0,1,TAURANGA
"['QINGDAO', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'AUCKLAND']","[0.2721345865309466, 79.85810744547923, 16.162548319575574, 40.96231625230074, 93.94248325432183, 285.9818244729114]","[21.156300903139044, 19.157353005466124, 13.583747968803547, 14.393509914299313, 27.55539316234087, 35.73321380338359]",6,Container,51737.0,0,AUCKLAND
"['SAVANNAH', 'KINGSTON', 'CRIST_BAL', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'AUCKLAND']","[0.42788708552389787, 64.22942323058446, 90.69203404826573, 222.99706201189144, 124.75269352477788, 160.48268889956577, 183.19036298310323]","[15.575203256415485, 21.247349533791205, 25.544898278809193, 16.546222727106645, 22.396604140952036, 41.49343710266474, 48.446203479210396]",7,Container,59266.0,1,AUCKLAND
"['PHILADELPHIA', 'CHARLESTON', 'CRIST_BAL', 'TABOGUILLA', 'RODMAN', 'TAURANGA']","[0.920729556419777, 28.145885864376957, 77.32008740147614, 8.196790298744265, 2.8198351552224974, 333.6848902733583]","[22.40152363448117, 21.900910425684607, 20.719821382139777, 13.490666053640831, 26.9606126751163, 25.643026022277013]",6,Container,41028.0,1,TAURANGA
"['TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'TAURANGA']","[0.2664993888701672, 221.14604407501247, 181.28467351701525, 63.69734397436358, 31.116511654905636, 31.24268310454029, 85.3493920356622]","[20.47162065120919, 16.236313638135304, 15.55709783042035, 30.654498402545954, 16.965214579720353, 26.443594677726132, 33.02114388359228]",7,Container,30156.0,1,TAURANGA
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.1504958289181182, 52.80037012450849, 55.20202849508405, 47.126482343098196, 4.615462508771459, 241.6557920275971, 160.59721639308503]","[9.265145390340997, 20.096653166964202, 22.050415137348484, 19.742212917445087, 15.279188712230102, 28.214922397807385, 57.27797331336903]",7,Container,39418.0,0,AUCKLAND
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'RODMAN', 'TAURANGA']","[0.33411545640493445, 19.004192157784402, 120.39438073765997, 84.33689687352665, 83.88697639488223, 333.6848902733583]","[23.464912248548476, 17.172324195289555, 18.4245723920436, 22.043134983116055, 30.817942403442064, 27.537983138112846]",6,Container,43177.0,1,TAURANGA
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'LYTTELTON']","[0.23119542625383271, 36.74313540456641, 86.33223112502125, 42.87808019912026, 4.615462508771459, 211.47361551430726, 271.47667144722294]","[12.48720458485507, 14.553460815821412, 22.13899386899853, 25.59946245045377, 42.47614014978771, 64.20479333760767, 57.51886273176349]",7,Container,53870.0,0,LYTTELTON
"['TABOGUILLA', 'RODMAN', 'BUENAVENTURA', 'CALLAO', 'PUERTO ANGAMOS', 'PUERTO SAN ANTONIO', 'TAURANGA']","[0.2337499919374706, 2.8198351552224974, 32.92541121566314, 56.05576090500308, 51.64640587648234, 101.98124179771887, 348.5719062740436]","[26.095379516530613, 34.561487699457345, 31.168811810534876, 42.665587597899275, 37.08729308345117, 33.430475684393215, 41.019426201451104]",7,Container,26871.0,1,TAURANGA
"['GUANGZHOU', 'KAOHSIUNG', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'KEMBLA', 'AUCKLAND']","[0.4953406102290223, 69.88207211409993, 193.31311276693148, 76.91470334180146, 28.17668369706631, 53.14322411115237, 150.72777598542294]","[25.33305647452884, 18.213734282196327, 20.097034397226636, 14.012159413080948, 16.644265623729915, 38.738174600717926, 35.57708427186923]",7,RoRo,16837.0,4,AUCKLAND
"['CRIST_BAL', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'TAURANGA']","[0.5259034523306043, 222.99706201189144, 133.5585562236671, 72.69928122673943, 45.808910705693116, 63.879715881315406]","[14.626135094090879, 14.856568733224822, 18.2917790166552, 29.76381994366498, 16.740023390820596, 23.38283795123221]",6,Container,41028.0,1,TAURANGA
"['ISHINOMAKI', 'KASHIMA', 'KAOHSIUNG', 'SHANGHAI', 'ZHOUSHAN', 'AUCKLAND']","[0.20993374583522595, 35.3045046222664, 95.04790955994255, 39.831300275993314, 20.652145075013234, 334.4102217035162]","[43.46231298030063, 34.94267044707475, 27.546007294516173, 26.249720296184943, 30.355274204631193, 35.066450776457444]",6,Bulker,35104.0,4,AUCKLAND
"['SHANGHAI', 'SUZHOU', 'YOSU', 'KANDA', 'BRISBANE', 'GISBORNE']","[0.39455656350113344, 22.201310832442125, 22.351606652722182, 57.60054999062677, 266.2327600467216, 174.19568154938258]","[40.30765292250033, 37.45768325194221, 44.62131314991904, 99.64900581745769, 109.32287462099218, 91.04381611720859]",6,Bulker,31775.0,4,GISBORNE
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'AUCKLAND']","[0.3983376459583756, 262.1869364688899, 124.75269352477788, 89.13419622353503, 95.30734979310182, 43.618176420096646, 134.47405982540698]","[18.998961050100576, 29.160643831347496, 15.605260437774774, 40.189753291220576, 29.31723840374081, 55.01975497725005, 54.560427021965864]",7,Container,52786.0,1,AUCKLAND
"['YANTAI', 'CHENGXI', 'GAMCHEON', 'GUANGZHOU', 'GISBORNE']","[0.39157231528959846, 42.16714022554841, 31.750501340001605, 79.91804370479375, 364.8658309589212]","[36.49280177150067, 44.80727612321799, 50.06936912532273, 51.09561823493307, 59.22463967825646]",5,Bulker,37704.0,4,GISBORNE
"['PAGO PAGO HARBOR', 'APIA', 'RAROTONGA', 'AITUTAKI', 'AUCKLAND']","[0.5380056583097368, 19.0797386538981, 46.48558451942962, 18.456469595115713, 246.8295503950368]","[25.047838794685838, 24.4540211058923, 33.87145484991477, 34.34832423344604, 51.629095983284984]",5,General Cargo,20202.0,2,AUCKLAND
"['SHENZHEN', 'HONG KONG', 'GUANGZHOU', 'KAOHSIUNG', 'BRISBANE', 'TAURANGA']","[0.1043794696378546, 4.615462508771459, 21.402362491473518, 38.45308595522543, 190.32373473445318, 67.38983167566971]","[16.39823046753068, 26.591738854132096, 19.721435131351633, 20.35208419384413, 27.74524830042645, 28.791088336184686]",6,Container,53124.0,0,TAURANGA
"['PAPEETE', 'NOUMEA', 'LAUTOKA', 'APIA', 'PAGO PAGO HARBOR', 'AUCKLAND']","[0.3167869447865612, 124.75269352477788, 81.88017031860953, 72.16097335004291, 18.794162746666878, 126.67347667060045]","[19.05798250192009, 15.95991514677139, 15.25053493167259, 11.459658214984872, 18.79499534449065, 33.24267396634794]",6,Container,8252.0,1,AUCKLAND
"['US SSI', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'AUCKLAND']","[1.834795272622805, 76.14530102651395, 6.614953574425195, 224.61954214948906, 126.71215991521942, 130.66983977264516]","[32.415695185327095, 28.1740467596367, 28.114909506680824, 24.352359754660284, 23.928637923672184, 19.80882892607844]",6,RoRo,18334.0,1,AUCKLAND
"['CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'TAURANGA']","[0.4301971380596117, 8.196790298744265, 221.14604407501247, 124.75269352477788, 64.96906677286059, 27.27394548999302, 111.87416316138007]","[13.408188723556627, 10.47270140407732, 16.931929252848168, 16.513190290168602, 31.48673725058847, 15.85415618984667, 28.33246991607612]",7,Container,35031.0,1,TAURANGA
"[""NUKU'ALOFA"", 'SUVA', 'APIA', 'PAGO PAGO HARBOR', 'RAROTONGA', 'AUCKLAND']","[2.3775590259971846, 80.28320532215436, 99.35195244537668, 21.613287158666907, 42.30022469719994, 94.51605208196338]","[27.03344565264139, 33.271757156227594, 22.34267148517353, 26.897002706348946, 30.798786333033693, 18.96536603750442]",6,General Cargo,8378.0,2,AUCKLAND
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'AUCKLAND']","[0.26746960998646285, 79.51249288519982, 25.323624430468836, 67.825823825853, 4.615462508771459, 262.4080045350207]","[19.356476834454334, 30.02956709328, 30.718628647246607, 26.981481946637707, 22.328731469514857, 29.220896932531875]",6,Container,8252.0,2,AUCKLAND
"['CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'CRIST_BAL', 'TABOGUILLA', 'RODMAN', 'TAURANGA']","[0.24719494146757404, 101.59737526153792, 120.14850116714146, 77.32008740147614, 8.196790298744265, 2.8198351552224974, 333.6848902733583]","[15.062899552755994, 17.886254998922674, 17.824949874155113, 16.930022511037127, 16.22511040087095, 26.48126267564261, 25.441213844018016]",7,Container,26947.0,1,TAURANGA
"['YOKKAICHI', 'YOKOHAMA', 'OSAKA', 'BUSAN NEW', 'SHANGHAI', 'ZHOUSHAN', 'AUCKLAND']","[1.752628185880606, 22.20035790992614, 25.22446337997283, 18.237719634600804, 23.002392313798186, 13.04346004737678, 259.12415084879785]","[21.65822053556019, 17.500020649185767, 18.717778827785388, 14.945685693235195, 19.606010647475358, 21.365041991269955, 50.764507967654346]",7,RoRo,15853.0,1,AUCKLAND
"['MARCHWOOD', 'BALTIMORE', 'SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'PAPEETE', 'AUCKLAND']","[1.5263254888834799, 167.61365002278882, 82.68342338636505, 113.5069119531734, 6.614953574425195, 224.61954214948906, 261.2360808616994]","[40.090634986756854, 39.341651836746486, 34.219040063970674, 21.521502064750347, 14.813083273617558, 19.56204030016157, 29.708619905161232]",7,RoRo,14283.0,1,AUCKLAND
"['SUVA', 'LAUTOKA', 'APIA', 'PAGO PAGO HARBOR', 'TAURANGA']","[0.16561914423948698, 18.93896723362816, 45.900933467586306, 18.794162746666878, 124.24692914531761]","[18.855484729723802, 22.260142283915112, 13.379147500259272, 14.25318630330514, 11.32699719264063]",5,Container,22314.0,2,TAURANGA
"['HONG KONG', 'KEELUNG', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'LYTTELTON']","[0.18419386682457906, 47.48410185513375, 59.54204296616052, 13.983709277944408, 40.96231625230074, 35.76781176238782, 266.927549078097]","[19.37692407559505, 17.817127451141044, 18.422817413816336, 13.657190058372345, 16.12925969060468, 25.808826121246284, 46.21656203587952]",7,Container,36917.0,0,LYTTELTON
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.0912831464352386, 41.38837093574579, 66.34641904870605, 42.87808019912026, 4.615462508771459, 336.3278353551227, 274.26307142282667]","[11.68026307921904, 17.957092337859123, 20.115605715383317, 18.223591992701994, 16.676596202445204, 50.25144081337329, 57.59109956200798]",7,Container,69653.0,0,AUCKLAND
"['SHARJAH', 'AR RUWAYS', 'FUJAIRAH', 'ADELAIDE', 'PORT CHALMERS']","[0.248835307915664, 55.12726839258628, 105.53922817893711, 396.86184502402614, 160.13047025425726]","[76.23774073468196, 85.1294000615852, 68.34161786590853, 75.23347389989661, 83.73687691338202]",5,Bulker,32728.0,4,PORT CHALMERS
"['YOKOHAMA', 'OSAKA', 'BUSAN NEW', 'SHANGHAI', 'AUCKLAND']","[0.17899791776485752, 17.193500089167784, 77.49923957635028, 77.65391735082515, 256.8241581123317]","[17.8202337934924, 20.67243496375017, 24.14573536497974, 19.203483741401495, 14.714148100142149]",5,Container,65710.0,0,AUCKLAND
"['LAE', 'KIMBE', 'RABAUL', 'HONIARA', 'LUGANVILLE', 'VILA', 'TAURANGA']","[0.3810820114875968, 8.632577713967148, 68.66066668706291, 38.15029342183492, 141.926856405712, 130.64391295852963, 190.9352613991689]","[32.18062270896329, 31.63949149027922, 43.16283368575128, 43.813100038726674, 38.26197553823002, 42.48597680914109, 38.60169655380525]",7,Container,12502.0,3,TAURANGA
"['QINGDAO', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'TAURANGA']","[0.3460946729825103, 77.07613827970647, 42.87808019912026, 4.615462508771459, 199.12325821468943, 106.05337844755303]","[31.027552469672045, 22.61130260525935, 19.299645446685215, 38.79162523105285, 47.00370404947036, 47.61994584769965]",6,Container,80115.0,0,TAURANGA
