ports,transits_hours,dwells_hours,n_ports,vessel_type,dwt,cluster_k,nz_destination
"['SINGAPORE', 'BOTANY', 'BRISBANE', 'ONSAN', 'TOWNSVILLE', 'CAIRNS', 'NEW PLYMOUTH']","[0.3314100092963401, 272.37028704102767, 36.3853957204606, 281.2236384328629, 255.866472210726, 32.27238693516774, 220.97313843492583]","[43.27802475866682, 26.880924215429705, 42.006483332015705, 40.024175432267924, 33.827408950420626, 22.250331448613967, 44.47164533381586]",7,Tanker,49765.0,4,NEW PLYMOUTH
"['DURBAN', 'LAEM CHABANG', 'SINGAPORE', 'FREMANTLE', 'AUCKLAND']","[0.6606001227460254, 285.5747061417015, 39.92217660713318, 115.50210111013746, 162.21267115579263]","[26.515511187131988, 27.932022002547143, 17.6995045787437, 21.255298588868943, 34.32027899569546]",5,RoRo,14906.0,0,AUCKLAND
"['GRESIK, JAVA', 'VAVOUTO', 'NEWCASTLE', 'LAE', 'LAUTOKA', 'WELLINGTON']","[0.6883652318637858, 210.1953714376275, 102.54700041099593, 110.37969674262479, 162.0687300567234, 129.21172377885026]","[58.960265234400076, 71.0194060081891, 73.51032201553998, 52.57091814379127, 57.41755595537638, 92.38436157812305]",6,Bulker,37520.0,3,WELLINGTON
"['LIANYUNGANG', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'BRISBANE', 'LYTTELTON']","[0.07339787418098376, 40.63425977718547, 93.226596710446, 79.62308889063337, 249.47840904381025, 166.95678974232442]","[48.86908866416953, 47.28658912821645, 56.214692424120656, 77.1528357945003, 107.84824716760484, 108.9755413939685]",6,Bulker,80992.0,4,LYTTELTON
"['MUMBAI', 'MUNDRA', 'SINGAPORE', 'KLANG', 'TAURANGA']","[0.11526570220405619, 26.980543031699405, 181.50210901811647, 61.34188544125755, 337.22618894682375]","[63.59910906652259, 51.21384272116739, 61.67777497916684, 78.11214119655214, 92.26316738176882]",5,Bulker,33945.0,4,TAURANGA
"['SHANGHAI', 'ZHOUSHAN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.5204823958824967, 16.162548319575574, 64.66082395624413, 266.7757573430894, 131.6754901487294]","[34.00943787016058, 32.776529840856384, 30.603487456754088, 37.367125909286116, 55.15902230862447]",5,Container,21475.0,4,AUCKLAND
"['SHANGHAI', 'NINGBO', 'BOTANY', 'MELBOURNE', 'ADELAIDE', 'GEELONG', 'LYTTELTON']","[0.2613241210051789, 21.843873096281765, 221.63984817061936, 62.23503837053553, 83.87541670217024, 57.064827793742616, 142.79845738879607]","[19.897724174465665, 16.52635925249096, 20.2111990962043, 16.942002207083483, 24.359955269925855, 37.59605271520364, 34.857636522911505]",7,Container,23482.0,0,LYTTELTON
"['SINGAPORE', 'BRISBANE', 'KEMBLA', 'PORTLAND', 'TAURANGA']","[0.18435766784798613, 236.79697110759776, 113.18144901124053, 92.22704361608263, 177.76926038111603]","[76.70038062174302, 55.49887963393025, 73.58016235209392, 112.04825797676915, 119.48987607330407]",5,Bulker,32729.0,4,TAURANGA
"['ONSAN', 'SHANGHAI', 'OSAKA', 'YOKKAICHI', 'YOKOHAMA', 'SUVA', 'AUCKLAND']","[0.3703654464529591, 41.286327938904776, 41.24011194839898, 31.77305184163359, 14.9218917980155, 198.23240055639243, 207.11714420999363]","[9.325156916802149, 9.398330333938166, 8.629611615992212, 13.150822994724706, 10.687959633359585, 16.443159126983996, 41.86962458071128]",7,RoRo,15506.0,0,AUCKLAND
"['HONG KONG', 'KEELUNG', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'KAOHSIUNG', 'AUCKLAND']","[0.1431703674641729, 38.93468606412158, 38.12963984806474, 16.162548319575574, 41.9690363236539, 36.183544126786, 310.18773898653615]","[12.889445755970764, 16.514517087984967, 24.96169010870466, 14.168295368133258, 14.599012946474899, 11.238435525383176, 57.3227274719988]",7,Container,38975.0,0,AUCKLAND
"['KINGSTON', 'PAPEETE', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'TAURANGA']","[0.35488655713302997, 262.1869364688899, 157.86350192621973, 56.551375425776634, 66.88896289513046, 25.81950454329173, 132.33540734506283]","[14.790256240572631, 11.617761452370642, 19.358500118084574, 16.93574646122059, 36.17813488947359, 21.08706739907208, 33.02735134988509]",7,Container,105846.0,1,TAURANGA
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'ZHOUSHAN', 'GUANGZHOU', 'BRISBANE', 'AUCKLAND']","[0.4069908623924101, 29.980402850464138, 78.49624934610122, 18.58693056751191, 43.42453198331335, 211.97611455906394, 107.35419084981933]","[22.35880331009562, 24.85212505796526, 29.549695894964664, 14.248903999230134, 14.756477169381727, 35.284991374101274, 47.810193076462355]",7,General Cargo,17961.0,3,AUCKLAND
"['PHILADELPHIA', 'CHARLESTON', 'CRIST_BAL', 'TABOGUILLA', 'NEW PLYMOUTH']","[0.6757933419149951, 36.55311543444779, 104.16733997143314, 8.378941194271913, 454.5883145819037]","[30.038928206128713, 35.915196111532346, 47.56866010536151, 39.20998945931118, 46.316412904888]",5,Tanker,19999.0,1,NEW PLYMOUTH
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'AUCKLAND']","[0.13330486039920353, 73.40188247060179, 60.091232912347365, 137.50668027599934, 4.615462508771459, 262.4080045350207]","[12.799970407974792, 26.543283384288852, 18.18650494978633, 28.301335700102452, 21.647388578217715, 35.570703966622744]",6,Container,36307.0,0,AUCKLAND
"['BUSAN NEW', 'RODMAN', 'BUENAVENTURA', 'CALLAO', 'PUERTO ANGAMOS', 'PUERTO SAN ANTONIO', 'TAURANGA']","[0.4446738751738446, 401.67426171193864, 47.785148154087935, 56.05576090500308, 61.2815526471126, 68.24506661507061, 353.7805658473917]","[20.74071630453336, 22.102363894131116, 21.875815807499354, 38.30068872619351, 31.801557594244883, 32.716580182400364, 44.217537794471205]",7,Container,41028.0,1,TAURANGA
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'BRISBANE', 'AUCKLAND']","[0.18606871576282424, 22.693464972743794, 39.87082562278069, 86.89428257996767, 4.615462508771459, 220.87901966866883, 137.68978086217174]","[18.169357164073205, 22.014717157810324, 30.972562499394, 15.060044609232591, 14.653274481077558, 30.257763036706525, 61.87806674000656]",7,Container,50567.0,0,AUCKLAND
"['TABOGUILLA', 'RODMAN', 'BUENAVENTURA', 'CALLAO', 'TAURANGA']","[0.4868942710862043, 2.8198351552224974, 54.92439240515472, 91.08279671913526, 304.0617099137667]","[25.96770039571672, 32.443018403577206, 22.48553382303212, 35.68096499843256, 29.100866509399566]",5,Container,26974.0,1,TAURANGA
"['SHANGHAI', 'SUZHOU', 'YOSU', 'ONSAN', 'KURE', 'TOWNSVILLE', 'TAURANGA']","[0.21266210983812028, 19.531906183947452, 22.43578590414093, 14.328742237348303, 46.38406154341235, 248.40818370960878, 369.07095586059637]","[18.98400366948901, 30.955090041171086, 32.9099800180841, 45.18258660296092, 37.22451586206401, 40.87699060111993, 80.32827144227858]",7,Tanker,21117.0,0,TAURANGA
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'RODMAN', 'TAURANGA']","[0.3144435781033723, 35.27429601126649, 127.89324517321344, 81.15462026822797, 78.53432371272801, 333.6848902733583]","[17.71547760533274, 15.991523167606225, 18.07679289910023, 19.176990208384016, 33.71273000894168, 29.650046432040853]",6,Container,59266.0,1,TAURANGA
"['LIHIR', 'SRIRACHA', 'SINGAPORE', 'NOUMEA', 'LAUTOKA', 'SUVA', 'AUCKLAND']","[0.08970129769007729, 187.25140996989103, 124.69018242178151, 201.16661640097928, 46.516621705076716, 18.93896723362816, 127.42963404201177]","[21.6942567087784, 22.263060472457187, 24.8029672743291, 32.5770411032953, 34.49790116984306, 45.04821259429562, 62.01241717964871]",7,Container,48109.0,0,AUCKLAND
"['BRISBANE', 'BOTANY', 'LAE', 'HONIARA', 'LUGANVILLE', 'VILA', 'NELSON']","[0.3952607337481422, 22.185859864961913, 87.68388896021227, 37.21990199088708, 36.20339390786145, 45.19403529169963, 123.7968548434775]","[28.833315770606234, 26.313078732283156, 33.15722227775934, 28.34364391005575, 18.851241703268688, 43.4965193517949, 59.51196136992151]",7,Container,18409.0,3,NELSON
"['GUANGZHOU', 'KAOHSIUNG', 'HONG KONG', 'SHANGHAI', 'ZHOUSHAN', 'NELSON']","[0.14342940445731056, 34.45284515250971, 80.37053086870547, 109.57714232728141, 20.652145075013234, 345.25239136032667]","[42.8567749929157, 42.10286787620601, 45.63773027224904, 48.123003619926706, 43.72381580959903, 72.73320999360713]",6,Bulker,40481.0,4,NELSON
"['SHARJAH', 'JUBAIL', 'FUJAIRAH', 'SINGAPORE', 'BOTANY', 'MELBOURNE', 'NEW PLYMOUTH']","[0.2473232615927392, 21.040224107358426, 29.904082813299713, 175.32060180235416, 214.32416029457914, 85.27132469576158, 270.55836617310547]","[35.67596852276605, 38.80826374843562, 47.286270308454355, 48.067299376383644, 35.50145656313068, 43.32773736198518, 45.18501004776421]",7,General Cargo,36974.0,4,NEW PLYMOUTH
"['YOKKAICHI', 'YOKOHAMA', 'APRA HARBOR', 'BRISBANE', 'AUCKLAND']","[0.5447296512755271, 14.927536786437706, 69.37946446810176, 132.79021535332367, 178.60262297670013]","[39.29206872841376, 32.43381523402265, 15.477239159930154, 13.040980525081581, 32.028010110999]",5,RoRo,18529.0,4,AUCKLAND
"['SINGAPORE', 'KLANG', 'ADELAIDE', 'MELBOURNE', 'NEW PLYMOUTH']","[0.4181979213083362, 61.34188544125755, 241.9726475889775, 107.17414356388419, 89.98378548179903]","[73.75621875134483, 57.28984227741872, 66.00414186132531, 68.89945107659717, 71.13645415152988]",5,Bulker,37347.0,4,NEW PLYMOUTH
"['OSAKA', 'BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'TAURANGA']","[0.15251987767472208, 79.51249288519982, 36.82517100000221, 42.87808019912026, 263.4502788374433]","[26.31074391049235, 30.315310449121768, 24.02384300207282, 21.256288553301264, 19.73195110286762]",5,Container,12502.0,3,TAURANGA
"['BUSAN NEW', 'SHANGHAI', 'SHENZHEN', 'HONG KONG', 'AUCKLAND']","[0.2034393374930925, 100.2854299680919, 103.13106873344957, 4.615462508771459, 262.4080045350207]","[21.92788896132705, 25.058712357602026, 26.46726594611807, 32.05632586417042, 22.911243789015547]",5,Container,30813.0,0,AUCKLAND
"['CAPE CUVIER', 'NEW PRIOK', 'BRISBANE', 'KEMBLA', 'TAURANGA']","[0.139320388904989, 84.6990241486869, 217.02222483130862, 84.7375727948792, 102.40466849477286]","[49.94088240897664, 41.932568398456, 51.21527618007183, 81.08076811823096, 143.4950180425608]",5,Bulker,37658.0,4,TAURANGA
"['SUVA', 'APIA', 'PAGO PAGO HARBOR', 'RAROTONGA', 'ALOFI', 'AUCKLAND']","[0.8020348874220415, 44.02477833557161, 21.613287158666907, 42.30022469719994, 41.754347729335834, 74.39107289043726]","[16.83361719383477, 25.032717513337257, 25.124611986952633, 26.400245561758634, 42.08522663632806, 18.528946972037655]",6,General Cargo,8378.0,2,AUCKLAND
"['ZHUHAI', 'GUANGZHOU', 'KAOHSIUNG', 'BRISBANE', 'KEMBLA', 'AUCKLAND']","[0.3608039404407841, 9.287177434083612, 68.75416912346752, 249.47840904381025, 64.07705136789723, 83.73422216875129]","[47.05409264294283, 48.20477199181657, 46.75256911696464, 55.58397803856862, 60.48104006442916, 53.36681515278425]",6,Bulker,37717.0,4,AUCKLAND
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'TAURANGA']","[0.2772085998310265, 22.412763453518473, 152.2282408907101, 58.451690957437236, 412.2192139860865]","[15.209917370140158, 15.943776957335846, 18.09928632490025, 16.332591730233258, 15.626367845188021]",5,Container,120964.0,1,TAURANGA
"['TOWNSVILLE', 'NEW PRIOK', 'BRISBANE', 'KLANG', 'NAPIER']","[0.6870964891272626, 175.01833312395274, 217.02222483130862, 251.00744649939492, 353.76767634812205]","[25.598094438334897, 47.70553117347168, 37.03449283409369, 35.135488233033065, 29.00913346327287]",5,Bulker,38559.0,4,NAPIER
"['BALTIMORE', 'SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'AUCKLAND']","[1.024394883023703, 35.07105936959918, 85.86207528552683, 6.614953574425195, 338.2792307730884]","[32.319649069060745, 32.646212145250836, 31.159266391762706, 27.174981151306486, 23.940205625797336]",5,RoRo,19227.0,1,AUCKLAND
"['SUVA', 'LAUTOKA', 'NOUMEA', 'BRISBANE', 'BOTANY', 'MELBOURNE', 'NEW PLYMOUTH']","[1.1013846383104342, 15.182671724698562, 71.09509625243291, 164.04897087511165, 97.42529089961518, 116.87629056596724, 310.7440058638127]","[44.68824953463935, 35.02585279604806, 40.213879150526466, 40.29398941597652, 23.68159047999459, 29.334247510457217, 31.52444328658924]",7,Tanker,3854.0,2,NEW PLYMOUTH
"['YINGKOU', 'HONG KONG', 'GUANGZHOU', 'KAOHSIUNG', 'TIMARU']","[0.2310958233302911, 93.5590013700327, 27.34746318354949, 27.807942276054078, 356.54843409067945]","[36.34156614804448, 58.64033994143948, 55.290869371045346, 44.268918743834284, 38.91009947753175]",5,Bulker,31866.0,4,TIMARU
"['MOTUKEA ISLAND', 'NOUMEA', 'BRISBANE', 'SHANGHAI', 'TAURANGA']","[0.434644034890064, 99.3900950369141, 48.824098474735614, 273.63077034627327, 345.99921301244683]","[28.21540971993759, 35.92200860829155, 40.50840293132116, 31.347150469556418, 31.461729468336962]",5,Tanker,12365.0,0,TAURANGA
"['YOKOHAMA', 'OSAKA', 'GAMCHEON', 'YOKKAICHI', 'AUCKLAND']","[0.5438809832557308, 46.804429797917784, 63.648022731522005, 37.921043783053435, 258.0297977651446]","[24.07297150372258, 26.188691308881822, 34.306546916116, 9.672294808167521, 19.493329883430892]",5,General Cargo,18760.0,0,AUCKLAND
"['MIKAWA', 'OSAKA', 'YOKKAICHI', 'YOKOHAMA', 'KISARAZU', 'SUVA', 'AUCKLAND']","[0.2561265689174259, 11.983055683267281, 26.971849255703223, 11.875899759671956, 5.082626497670043, 199.38612944101382, 126.16222179177622]","[17.965744050228302, 14.589510463229983, 16.271203436734403, 10.099744680269563, 14.627316213445305, 20.877324435326887, 38.02782400997893]",7,RoRo,20581.0,0,AUCKLAND
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'TAURANGA']","[0.24603966047069625, 27.330710132780492, 122.05441580610054, 103.79722201605942, 412.2192139860865]","[19.499042222230216, 16.21088782119169, 15.428377395716662, 15.446227759287371, 14.331073100197047]",5,Container,110387.0,1,TAURANGA
"['SHENZHEN', 'XIAMEN', 'NINGBO', 'BRISBANE', 'BOTANY', 'AUCKLAND']","[0.29662137265522026, 23.80829444185173, 38.92795708048239, 200.11732440781782, 95.30734979310182, 64.54055257716082]","[15.956535429596315, 20.649536627722814, 11.78976123499472, 19.353810085984527, 20.103941722964457, 24.912098868844605]",6,Container,30813.0,0,AUCKLAND
"['FUJAIRAH', 'ADELAIDE', 'PORTLAND', 'GEELONG', 'NEW PLYMOUTH']","[0.6861704755100375, 396.86184502402614, 144.83804152444546, 143.06833902219842, 286.39604103270176]","[73.45650983461456, 72.45056790720581, 89.08326725986961, 85.71798538832847, 63.71871459964186]",5,Bulker,32318.0,4,NEW PLYMOUTH
"['LE HAVRE', 'SANTANDER', 'ELIZABETH', 'DURBAN', 'AUCKLAND']","[0.5677253304979504, 65.81114470810628, 304.59909915192844, 72.62524708671273, 356.4111778781409]","[24.341604803165797, 28.678890714947432, 35.878858387261914, 35.10666789291227, 22.28905738737003]",5,RoRo,43878.0,1,AUCKLAND
"['YOKKAICHI', 'OSAKA', 'MIKAWA', 'KISARAZU', 'YOKOHAMA', 'SUVA', 'AUCKLAND']","[0.28569932439190815, 37.91240593308088, 14.222722828542874, 11.769836727880408, 10.904643648166852, 200.91383420008475, 120.95716829006865]","[19.930829486086747, 14.980092521428467, 14.31961751719594, 12.064783666884376, 18.076905598630667, 25.672577657090454, 40.21211755637197]",7,RoRo,12200.0,0,AUCKLAND
"['SUVA', 'APIA', 'PAGO PAGO HARBOR', ""NUKU'ALOFA"", 'AUCKLAND']","[0.35447190570418075, 50.87702868918194, 18.794162746666878, 42.96643769457404, 57.103410313499545]","[18.720327978656254, 17.95480652036031, 26.596006016809003, 18.413889730460294, 13.707089343776387]",5,Container,8252.0,2,AUCKLAND
"[""NUKU'ALOFA"", 'SUVA', 'APIA', 'RAROTONGA', 'AUCKLAND']","[0.6705553908822905, 20.65085025800573, 44.02477833557161, 72.78048046322736, 94.51605208196338]","[24.587308051017693, 31.087565262008567, 35.06181370543475, 20.62332587482352, 14.836267994869111]",5,General Cargo,20202.0,2,AUCKLAND
"['NEWARK', 'SAVANNAH', 'CRIST_BAL', 'TABOGUILLA', 'BRISBANE', 'BOTANY', 'TAURANGA']","[0.4250856428969594, 46.600048332456225, 99.7651734140106, 8.196790298744265, 379.7252889048767, 34.85447624890202, 151.50357634761116]","[23.093235272241646, 22.61405969636389, 21.217357394726733, 16.737335730903997, 36.507905540366465, 26.386842086936724, 42.56614307230208]",7,Container,26947.0,1,TAURANGA
"['CRIST_BAL', 'CARTAGENA', 'PHILADELPHIA', 'CHARLESTON', 'TAURANGA']","[0.26618392845222494, 28.20092674141144, 132.1932137208138, 63.53544344627289, 412.2192139860865]","[18.575170096123358, 17.001279549870816, 18.582075907611895, 19.142074174005533, 27.896442155898782]",5,Container,35036.0,1,TAURANGA
"['BUSAN NEW', 'RODMAN', 'BUENAVENTURA', 'CALLAO', 'PUERTO ANGAMOS', 'PUERTO SAN ANTONIO', 'TAURANGA']","[0.6345017932079189, 401.67426171193864, 75.3349048227318, 56.16294945036134, 58.10493915068829, 47.73656057679731, 349.3348646623282]","[20.604653370300266, 19.793663264722536, 21.290810139116257, 35.67001697710898, 31.226826990088284, 33.22406796955515, 46.50775009697046]",7,Container,93591.0,1,TAURANGA
"['YOKOHAMA', 'OSAKA', 'BUSAN NEW', 'SHANGHAI', 'AUCKLAND']","[0.3058685180297571, 74.48755519676959, 79.51249288519982, 77.2861690649685, 256.8241581123317]","[24.30030104472115, 28.467750514337094, 23.52661939007921, 23.79997134587612, 28.592669960668317]",5,Container,50567.0,0,AUCKLAND
